,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Presentations Text,Agenda Text,Agenda Packet Text,Minutes Text,Written Communications Text,YouTube Transcription Text,Video Text,Audio Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Presentations URL,Agenda URL,Agenda Packet URL,Minutes URL,Written Communications URL,YouTube Transcription URL,Video URL,Audio URL
69,Bicycle Pedestrian Commission,1/20/2016,,7:00 PM,"10300 Torre Avenue, City Hall Conference Room A",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22794&GUID=DA4EFDBB-359F-4536-B6AE-E3BED44110B2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=440385&GUID=B4620CAA-3AFD-4DC2-B427-08B572E60561,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=440385&GUID=B4620CAA-3AFD-4DC2-B427-08B572E60561&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=440385&GUID=B4620CAA-3AFD-4DC2-B427-08B572E60561,,https://cupertino.legistar.com/View.ashx?M=M&ID=440385&GUID=B4620CAA-3AFD-4DC2-B427-08B572E60561,,,,
70,City Council,1/19/2016,,4:30 PM,10300 Torre Avenue and 10350 Torre AvenueAMENDED Special Non-televised Closed Session (4:30) Immediately Followed by a Televised Study Session; Followed by the Televised Regular Meeting (6:45); Special Public Facilities Corporation Meeting (Immediately Following Regular Meeting),Meeting details,Not available,Amended agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=418924&GUID=2F506317-40A3-4063-BA12-6EB938E69FC3,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=418924&GUID=2F506317-40A3-4063-BA12-6EB938E69FC3&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=418924&GUID=2F506317-40A3-4063-BA12-6EB938E69FC3,,https://cupertino.legistar.com/View.ashx?M=M&ID=418924&GUID=2F506317-40A3-4063-BA12-6EB938E69FC3,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
71,Public Safety Commission,1/14/2016,,6:00 PM,"10300 Torre Avenue, City Hall Conference Room A",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23091&GUID=54D4C363-B8EB-443D-BCEE-5E4FD02C8C11,,https://cupertino.legistar.com/View.ashx?M=IC&ID=440406&GUID=E3CE6286-A4A8-4BBF-9926-9B1D1AA5A0BB,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=440406&GUID=E3CE6286-A4A8-4BBF-9926-9B1D1AA5A0BB&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=440406&GUID=E3CE6286-A4A8-4BBF-9926-9B1D1AA5A0BB,,https://cupertino.legistar.com/View.ashx?M=M&ID=440406&GUID=E3CE6286-A4A8-4BBF-9926-9B1D1AA5A0BB,,,,
72,Administrative Hearing,1/14/2016,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room CCancelled",Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=451456&GUID=40125211-49C3-43D4-A169-C6662A5635E8,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=451456&GUID=40125211-49C3-43D4-A169-C6662A5635E8&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=451456&GUID=40125211-49C3-43D4-A169-C6662A5635E8,,,,,,
73,Housing Commission,1/14/2016,,9:00 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23088&GUID=E3F97C7E-3705-41B8-907A-ABEDC50EDFF1,,https://cupertino.legistar.com/View.ashx?M=IC&ID=455850&GUID=EA8EFD9D-458A-4A7C-AAD8-6DD52E116609,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=455850&GUID=EA8EFD9D-458A-4A7C-AAD8-6DD52E116609&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=455850&GUID=EA8EFD9D-458A-4A7C-AAD8-6DD52E116609,,https://cupertino.legistar.com/View.ashx?M=M&ID=455850&GUID=EA8EFD9D-458A-4A7C-AAD8-6DD52E116609,,,,
74,Teen Commission,1/13/2016,,6:00 PM,"Quinlan Community Center, 10185 N. Stelling Rd.",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23092&GUID=E565B595-5FED-4380-9467-E8B37961AFC2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=455851&GUID=D4C8FECC-9CF6-4180-8F88-7D5E04CAA557,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=455851&GUID=D4C8FECC-9CF6-4180-8F88-7D5E04CAA557&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=455851&GUID=D4C8FECC-9CF6-4180-8F88-7D5E04CAA557,,https://cupertino.legistar.com/View.ashx?M=M&ID=455851&GUID=D4C8FECC-9CF6-4180-8F88-7D5E04CAA557,,,,
75,Planning Commission,1/12/2016,,6:45 PM,"10350 Torre Avenue, Council ChamberCancelled",Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=451462&GUID=B10211EA-FFCC-4B75-B6FD-D178E6E10067,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=451462&GUID=B10211EA-FFCC-4B75-B6FD-D178E6E10067&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=451462&GUID=B10211EA-FFCC-4B75-B6FD-D178E6E10067,,,,,,
76,City Council,1/12/2016,,3:00 PM,"10300 Torre Avenue, City Hall EOCNon-televised Special Meeting",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=455590&GUID=0C1B56C8-7F93-4F41-AC4C-EF775751B450,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=455590&GUID=0C1B56C8-7F93-4F41-AC4C-EF775751B450&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=455590&GUID=0C1B56C8-7F93-4F41-AC4C-EF775751B450,,https://cupertino.legistar.com/View.ashx?M=M&ID=455590&GUID=0C1B56C8-7F93-4F41-AC4C-EF775751B450,,,,
77,Parks and Recreation Commission,1/7/2016,,7:00 PM,"10350 Torre Avenue, Community HallThis meeting will be televised",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23090&GUID=2EF4EA37-633F-439B-B4C7-FD12541BFAEF,,https://cupertino.legistar.com/View.ashx?M=IC&ID=451638&GUID=2FEBC1FE-3ED1-4E41-8ED8-41B779D41091,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=451638&GUID=2FEBC1FE-3ED1-4E41-8ED8-41B779D41091&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=451638&GUID=2FEBC1FE-3ED1-4E41-8ED8-41B779D41091,,https://cupertino.legistar.com/View.ashx?M=M&ID=451638&GUID=2FEBC1FE-3ED1-4E41-8ED8-41B779D41091,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
78,Design Review Committee,1/7/2016,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room CCancelled",Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=451458&GUID=BA73049F-6222-443D-9656-16DF2D416F5D,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=451458&GUID=BA73049F-6222-443D-9656-16DF2D416F5D&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=451458&GUID=BA73049F-6222-443D-9656-16DF2D416F5D,,,,,,
79,Environmental Review Committee,1/7/2016,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room CCancelled",Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=451460&GUID=F66390FD-4A38-45D6-ACE9-7A8E82DB8F85,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=451460&GUID=F66390FD-4A38-45D6-ACE9-7A8E82DB8F85&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=451460&GUID=F66390FD-4A38-45D6-ACE9-7A8E82DB8F85,,,,,,
80,Library Commission,1/6/2016,,7:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23089&GUID=82144D6A-94F6-4207-B502-D8C42E4E1C41,,https://cupertino.legistar.com/View.ashx?M=IC&ID=452377&GUID=B0510E64-5F61-44DE-A8A9-AE5CB4A7C444,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=452377&GUID=B0510E64-5F61-44DE-A8A9-AE5CB4A7C444&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=452377&GUID=B0510E64-5F61-44DE-A8A9-AE5CB4A7C444,,https://cupertino.legistar.com/View.ashx?M=M&ID=452377&GUID=B0510E64-5F61-44DE-A8A9-AE5CB4A7C444,,,,
81,TICC,1/6/2016,,7:00 PM,"10300 Torre Avenue, City Hall Conference Room A",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23093&GUID=1A328291-57A3-49C3-BAC7-23F4880CAE43,,https://cupertino.legistar.com/View.ashx?M=IC&ID=452723&GUID=5798B2D9-3886-4D16-B147-676FB6BE7840,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=452723&GUID=5798B2D9-3886-4D16-B147-676FB6BE7840&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=452723&GUID=5798B2D9-3886-4D16-B147-676FB6BE7840,,https://cupertino.legistar.com/View.ashx?M=M&ID=452723&GUID=5798B2D9-3886-4D16-B147-676FB6BE7840,,,,
82,City Council,1/5/2016,,6:45 PM,"10350 Torre Avenue, Council ChamberAdjourned to Jan 19",Meeting details,Not available,Adjournment Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=418923&GUID=58B09989-9E1C-4D7E-B250-5F2552F66554,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=418923&GUID=58B09989-9E1C-4D7E-B250-5F2552F66554&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=418923&GUID=58B09989-9E1C-4D7E-B250-5F2552F66554,,,,,,
83,Administrative Hearing,12/24/2015,,5:00 PM,Conference Room CChristmas Eve Holiday,Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=398072&GUID=CC82D364-BA77-45F3-8818-6963D6F80745,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=398072&GUID=CC82D364-BA77-45F3-8818-6963D6F80745&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=398072&GUID=CC82D364-BA77-45F3-8818-6963D6F80745,,,,,,
84,Planning Commission,12/22/2015,,6:45 PM,"10350 Torre Avenue, Council ChamberCancelled",Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=398066&GUID=79A07421-00F6-46E7-BBA5-D0EDD8780708,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=398066&GUID=79A07421-00F6-46E7-BBA5-D0EDD8780708&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=398066&GUID=79A07421-00F6-46E7-BBA5-D0EDD8780708,,,,,,
85,Design Review Committee,12/17/2015,,5:00 PM,Conference Room CCancelled,Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=398068&GUID=A1BDB918-F982-4E86-9453-37BB765C547F,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=398068&GUID=A1BDB918-F982-4E86-9453-37BB765C547F&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=398068&GUID=A1BDB918-F982-4E86-9453-37BB765C547F,,,,,,
86,Environmental Review Committee,12/17/2015,,9:30 AM,Conference Room CCancelled,Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=398070&GUID=D8F0829D-AF73-44A3-B012-82C9D4D51D98,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=398070&GUID=D8F0829D-AF73-44A3-B012-82C9D4D51D98&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=398070&GUID=D8F0829D-AF73-44A3-B012-82C9D4D51D98,,,,,,
87,Bicycle Pedestrian Commission,12/16/2015,,7:00 PM,"10300 Torre Ave., Conf. Room A",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22794&GUID=DA4EFDBB-359F-4536-B6AE-E3BED44110B2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=373197&GUID=C61ABE38-076D-42CC-894A-1CD7E32A08A3,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=373197&GUID=C61ABE38-076D-42CC-894A-1CD7E32A08A3&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=373197&GUID=C61ABE38-076D-42CC-894A-1CD7E32A08A3,,https://cupertino.legistar.com/View.ashx?M=M&ID=373197&GUID=C61ABE38-076D-42CC-894A-1CD7E32A08A3,,,,
88,City Council,12/15/2015,,6:45 PM,"10350 Torre Avenue, Council ChamberAmended Cancelled and AMENDED Adjourned",Meeting details,Not available,Amended Cancelled and AMENDED Adjourned,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=395761&GUID=CCC50B32-0E86-4A5C-9CF8-22C97FC2D096,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=395761&GUID=CCC50B32-0E86-4A5C-9CF8-22C97FC2D096&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=395761&GUID=CCC50B32-0E86-4A5C-9CF8-22C97FC2D096,,,,,,
89,Bicycle Pedestrian Commission,12/15/2015,,6:30 PM,"10350 Torre Avenue, Community HallSpecial Meeting",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22794&GUID=DA4EFDBB-359F-4536-B6AE-E3BED44110B2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=445088&GUID=358F8160-4678-4B6A-AF66-557073666135,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=445088&GUID=358F8160-4678-4B6A-AF66-557073666135&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=445088&GUID=358F8160-4678-4B6A-AF66-557073666135,,https://cupertino.legistar.com/View.ashx?M=M&ID=445088&GUID=358F8160-4678-4B6A-AF66-557073666135,,,,
90,Parks & Rec. and Bicycle Ped. Commissions,12/15/2015,,6:30 PM,"10350 Torre Avenue, Community HallAmended Special Meeting - This Meeting will be televised",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=32423&GUID=A853EEE0-9233-43EA-9BC3-7F0271883255,,https://cupertino.legistar.com/View.ashx?M=IC&ID=449955&GUID=69190D55-C646-488F-A154-9C73E328C4D3,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=449955&GUID=69190D55-C646-488F-A154-9C73E328C4D3&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=449955&GUID=69190D55-C646-488F-A154-9C73E328C4D3,,https://cupertino.legistar.com/View.ashx?M=M&ID=449955&GUID=69190D55-C646-488F-A154-9C73E328C4D3,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
91,Parks and Recreation Commission,12/15/2015,,6:30 PM,"10350 Torre Avenue, Community HallSpecial Meeting",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23090&GUID=2EF4EA37-633F-439B-B4C7-FD12541BFAEF,,https://cupertino.legistar.com/View.ashx?M=IC&ID=451650&GUID=D6DB6DFB-37B7-4C57-B7B4-1BDE3328C119,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=451650&GUID=D6DB6DFB-37B7-4C57-B7B4-1BDE3328C119&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=451650&GUID=D6DB6DFB-37B7-4C57-B7B4-1BDE3328C119,,https://cupertino.legistar.com/View.ashx?M=M&ID=451650&GUID=D6DB6DFB-37B7-4C57-B7B4-1BDE3328C119,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
92,Public Safety Commission,12/10/2015,,6:00 PM,"10300 Torre Ave., Conf. Room A",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23091&GUID=54D4C363-B8EB-443D-BCEE-5E4FD02C8C11,,https://cupertino.legistar.com/View.ashx?M=IC&ID=373179&GUID=021A1BB4-6332-407B-922D-FF4D3C41458C,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=373179&GUID=021A1BB4-6332-407B-922D-FF4D3C41458C&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=373179&GUID=021A1BB4-6332-407B-922D-FF4D3C41458C,,https://cupertino.legistar.com/View.ashx?M=M&ID=373179&GUID=021A1BB4-6332-407B-922D-FF4D3C41458C,,,,
93,Administrative Hearing,12/10/2015,,5:00 PM,Conference Room CCancelled,Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=398071&GUID=BA4F9F3F-F00A-4D29-8C47-5CF88036A95A,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=398071&GUID=BA4F9F3F-F00A-4D29-8C47-5CF88036A95A&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=398071&GUID=BA4F9F3F-F00A-4D29-8C47-5CF88036A95A,,,,,,
94,Housing Commission,12/10/2015,,9:00 AM,Conference Room CCancelled,Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23088&GUID=E3F97C7E-3705-41B8-907A-ABEDC50EDFF1,,https://cupertino.legistar.com/View.ashx?M=IC&ID=366117&GUID=E3A71058-F613-4010-A021-4231AE80647F,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=366117&GUID=E3A71058-F613-4010-A021-4231AE80647F&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=366117&GUID=E3A71058-F613-4010-A021-4231AE80647F,,,,,,
95,Teen Commission,12/9/2015,,6:00 PM,"Quinlan Community Center, 10185 N. Stelling Rd.",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23092&GUID=E565B595-5FED-4380-9467-E8B37961AFC2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=447188&GUID=E57CD48E-AE3B-4D3C-A2AA-892104625C38,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=447188&GUID=E57CD48E-AE3B-4D3C-A2AA-892104625C38&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=447188&GUID=E57CD48E-AE3B-4D3C-A2AA-892104625C38,,https://cupertino.legistar.com/View.ashx?M=M&ID=447188&GUID=E57CD48E-AE3B-4D3C-A2AA-892104625C38,,,,
96,Planning Commission,12/8/2015,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=398065&GUID=9D440D39-848D-4D9F-9C57-C94B1CEDAEB6,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=398065&GUID=9D440D39-848D-4D9F-9C57-C94B1CEDAEB6&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=398065&GUID=9D440D39-848D-4D9F-9C57-C94B1CEDAEB6,,https://cupertino.legistar.com/View.ashx?M=M&ID=398065&GUID=9D440D39-848D-4D9F-9C57-C94B1CEDAEB6,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
97,Parks and Recreation Commission,12/3/2015,,7:00 PM,"10350 Torre Avenue, Community HallThis meeting will be televised",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Video,AudioDownload,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23090&GUID=2EF4EA37-633F-439B-B4C7-FD12541BFAEF,,https://cupertino.legistar.com/View.ashx?M=IC&ID=381761&GUID=5321A375-53A2-4909-B39D-6A72E21BC2D0,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=381761&GUID=5321A375-53A2-4909-B39D-6A72E21BC2D0&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=381761&GUID=5321A375-53A2-4909-B39D-6A72E21BC2D0,,https://cupertino.legistar.com/View.ashx?M=M&ID=381761&GUID=5321A375-53A2-4909-B39D-6A72E21BC2D0,,,https://cupertino.legistar.com/#,https://cupertino.legistar.com/#
98,Design Review Committee,12/3/2015,,5:00 PM,Conference Room CCancelled,Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=398067&GUID=CECD2E4A-1B2A-4725-BE9D-69C514F7C1F7,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=398067&GUID=CECD2E4A-1B2A-4725-BE9D-69C514F7C1F7&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=398067&GUID=CECD2E4A-1B2A-4725-BE9D-69C514F7C1F7,,,,,,
99,Environmental Review Committee,12/3/2015,,9:30 AM,Conference Room CCancelled,Meeting details,Not available,Cancellation notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=398069&GUID=CFD40FA9-C61C-4D7C-8445-7F51E21E5E9A,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=398069&GUID=CFD40FA9-C61C-4D7C-8445-7F51E21E5E9A&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=398069&GUID=CFD40FA9-C61C-4D7C-8445-7F51E21E5E9A,,,,,,
0,Library Commission,12/2/2015,,7:00 PM,"10300 Torre Avenue, City Hall Conference Room CCancelled",Meeting details,Not available,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23089&GUID=82144D6A-94F6-4207-B502-D8C42E4E1C41,,https://cupertino.legistar.com/View.ashx?M=IC&ID=446192&GUID=7B61BBD7-0320-4985-91C9-336F5CFB6AC3,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=446192&GUID=7B61BBD7-0320-4985-91C9-336F5CFB6AC3&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=446192&GUID=7B61BBD7-0320-4985-91C9-336F5CFB6AC3,,,,,,
1,TICC,12/2/2015,,7:00 PM,"10300 Torre Avenue, City Hall Conference Room A",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23093&GUID=1A328291-57A3-49C3-BAC7-23F4880CAE43,,https://cupertino.legistar.com/View.ashx?M=IC&ID=446764&GUID=3D6093AC-ECDF-479C-8DA0-FDB643354511,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=446764&GUID=3D6093AC-ECDF-479C-8DA0-FDB643354511&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=446764&GUID=3D6093AC-ECDF-479C-8DA0-FDB643354511,,https://cupertino.legistar.com/View.ashx?M=M&ID=446764&GUID=3D6093AC-ECDF-479C-8DA0-FDB643354511,,,,
2,Teen Commission,12/2/2015,,6:00 PM,"Quinlan Community Center, 10185 N. Stelling Rd.Special Meeting",Meeting details,Not available,Agenda,Not available,Minutes,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23092&GUID=E565B595-5FED-4380-9467-E8B37961AFC2,,https://cupertino.legistar.com/View.ashx?M=IC&ID=447187&GUID=CEEC30E2-7550-44F2-A02E-4EDFA25798C9,,,https://cupertino.legistar.com/MeetingDetail.aspx?ID=447187&GUID=CEEC30E2-7550-44F2-A02E-4EDFA25798C9&Options=info&Search=,,https://cupertino.legistar.com/View.ashx?M=A&ID=447187&GUID=CEEC30E2-7550-44F2-A02E-4EDFA25798C9,,https://cupertino.legistar.com/View.ashx?M=M&ID=447187&GUID=CEEC30E2-7550-44F2-A02E-4EDFA25798C9,,,,
