,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Presentations Text,Agenda Text,Agenda Packet Text,Minutes Text,Written Communications Text,YouTube Transcription Text,Video Text,Audio Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Presentations URL,Agenda URL,Agenda Packet URL,Minutes URL,Written Communications URL,YouTube Transcription URL,Video URL,Audio URL
27,Environmental Review Committee,10/15/2020,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726230&GUID=442C1DF8-5696-4FC1-A90E-8F38EAE38939,,,,,,,,,,,
28,Planning Commission,10/13/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726079&GUID=272784E8-94A5-4083-A494-25CDEE66BE4E,,,,,,,,,,,
29,Administrative Hearing,10/8/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726122&GUID=5C7A1C15-AD0F-466B-8F25-F86D62D94AA4,,,,,,,,,,,
30,Housing Commission,10/8/2020,,9:00 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23088&GUID=E3F97C7E-3705-41B8-907A-ABEDC50EDFF1,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726147&GUID=1609D6C8-4486-42CD-83A2-778EB16F2158,,,,,,,,,,,
31,City Council,10/6/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=732530&GUID=C0727DAF-B455-4EB1-A931-7F1FB9CBE9D6,,,,,,,,,,,
32,Design Review Committee,10/1/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726188&GUID=4879F932-B9C0-4580-9F6B-8C006AA0B15D,,,,,,,,,,,
33,Environmental Review Committee,10/1/2020,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726229&GUID=09067217-1A70-4551-8D27-C850E09825EB,,,,,,,,,,,
34,Fine Arts Commission,9/28/2020,,7:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23087&GUID=B9B4CED8-90A4-48B4-A310-82855DD76141,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726154&GUID=30FA9A1C-CADA-411B-95F5-8B794B6754E8,,,,,,,,,,,
35,Administrative Hearing,9/24/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726121&GUID=33D789B6-29F8-4BD5-AE2C-86F75666AB93,,,,,,,,,,,
36,Planning Commission,9/22/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726078&GUID=0A48DA71-5CC8-4E77-9448-7C91E3C6E5E7,,,,,,,,,,,
37,Design Review Committee,9/17/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726187&GUID=CD1FC356-27C1-400D-A73B-9A7175FC1BFC,,,,,,,,,,,
38,Environmental Review Committee,9/17/2020,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726228&GUID=56310D88-9F87-4C92-9A9D-131F2FA280DB,,,,,,,,,,,
39,City Council,9/15/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=732529&GUID=F16E1B59-7F41-4222-A209-E5C5652BFA70,,,,,,,,,,,
40,Administrative Hearing,9/10/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726120&GUID=AA7285ED-2616-428A-9249-3882E9867994,,,,,,,,,,,
41,Housing Commission,9/10/2020,,9:00 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23088&GUID=E3F97C7E-3705-41B8-907A-ABEDC50EDFF1,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726146&GUID=34BD1D4F-1F4D-4297-A314-40028057A2C1,,,,,,,,,,,
42,Planning Commission,9/8/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726077&GUID=27A02050-BA43-4B42-83D7-828E6273453F,,,,,,,,,,,
43,Design Review Committee,9/3/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726186&GUID=8DAC978C-0ACC-4629-87F2-28F7BFC369B5,,,,,,,,,,,
44,Environmental Review Committee,9/3/2020,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726227&GUID=F1E37759-34EE-46F6-8B98-AA5E8F0EEE91,,,,,,,,,,,
45,City Council,9/1/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=732536&GUID=41CE32F4-4422-4B66-BCB1-E0F997E3BD90,,,,,,,,,,,
46,Administrative Hearing,8/27/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726119&GUID=F5D18BE9-8DDE-4C57-BA1D-C1A74B761B43,,,,,,,,,,,
47,Planning Commission,8/25/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726076&GUID=4DBBC472-F70B-4E1B-A990-DBAE7C104F5A,,,,,,,,,,,
48,Design Review Committee,8/20/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726185&GUID=2EB06377-F36F-4D02-9508-F77214C111CC,,,,,,,,,,,
49,Environmental Review Committee,8/20/2020,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726226&GUID=3EA1A177-DB2B-4DC0-857D-E872B351BF6E,,,,,,,,,,,
50,City Council,8/18/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=732528&GUID=69B53546-CE01-44E8-8D74-082FAAA4D8D9,,,,,,,,,,,
51,Administrative Hearing,8/13/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726118&GUID=348FBE3F-F079-4276-B3B5-DC91FEB6FB7F,,,,,,,,,,,
52,Housing Commission,8/13/2020,,9:00 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23088&GUID=E3F97C7E-3705-41B8-907A-ABEDC50EDFF1,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726145&GUID=D7AD4968-2F1F-4196-92EF-63E8D78D7CB3,,,,,,,,,,,
53,Planning Commission,8/11/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726075&GUID=CFB53CDD-BE61-4E35-BF9A-241499B066DF,,,,,,,,,,,
54,Design Review Committee,8/6/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726184&GUID=9F339B34-1298-4593-A462-53DECB6CB3FF,,,,,,,,,,,
55,Environmental Review Committee,8/6/2020,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726225&GUID=CE2FC5EC-1B0F-426A-AF14-0B7402358D61,,,,,,,,,,,
56,City Council,8/4/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=732527&GUID=9AAEC843-77C7-4C7F-A710-DAB2430B50C3,,,,,,,,,,,
57,Planning Commission,7/28/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726074&GUID=A31FC8BE-8D09-4052-97A5-E5748F0523E9,,,,,,,,,,,
58,Fine Arts Commission,7/27/2020,,7:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23087&GUID=B9B4CED8-90A4-48B4-A310-82855DD76141,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726153&GUID=7B9CDC76-BB14-4ACF-9BFE-95F27700525D,,,,,,,,,,,
59,Administrative Hearing,7/23/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726116&GUID=55B5CA2A-0AC1-4799-AC38-9AF298416842,,,,,,,,,,,
