,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Video URL
90,General Plan Update Community Advisory Committee,6/11/2019,,7:00 PM,"Municipal Services Building, Police Training Room
33 Arroyo Drive, South San Francisco, CA 94080",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=40132&GUID=ABE0F824-7416-4842-8488-AA5964E81FAA,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=705812&GUID=8AFD5CF8-FE3D-45D7-9CC3-A7CAFC742C72,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=705812&GUID=8AFD5CF8-FE3D-45D7-9CC3-A7CAFC742C72&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=705812&GUID=8AFD5CF8-FE3D-45D7-9CC3-A7CAFC742C72,
91,Parking Place Commission,6/11/2019,,5:00 PM,"Maintenance Corporation Yard Conference Room
550 North Canal Street, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32896&GUID=7F326DD8-823F-4DDC-AC7C-E9F7DE6CC797,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=706066&GUID=0C72EE94-0F31-4F14-81F8-AD060BCA1C50,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=706066&GUID=0C72EE94-0F31-4F14-81F8-AD060BCA1C50&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=706066&GUID=0C72EE94-0F31-4F14-81F8-AD060BCA1C50,
92,Planning Commission,6/6/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CAMEETING CANCELLED",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=693636&GUID=2193FE78-4A01-467A-8817-B98311FE409D,,,,,
93,Measure W Citizens' Oversight Committee,6/5/2019,,6:30 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32886&GUID=A2D91238-E1E8-48B7-A7EC-F23077B8F727,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=683223&GUID=C6B0211D-179A-4CA5-A5AC-52274C6623F8,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=683223&GUID=C6B0211D-179A-4CA5-A5AC-52274C6623F8&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=683223&GUID=C6B0211D-179A-4CA5-A5AC-52274C6623F8,
94,Planning Commission,5/30/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=695113&GUID=395AA2BF-8FA1-4500-B334-9481D886FEFD,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=695113&GUID=395AA2BF-8FA1-4500-B334-9481D886FEFD&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=695113&GUID=395AA2BF-8FA1-4500-B334-9481D886FEFD,
95,Special City Council,5/29/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688746&GUID=31435A56-CF86-4D14-A0A1-EBF390278CDF,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=688746&GUID=31435A56-CF86-4D14-A0A1-EBF390278CDF&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=688746&GUID=31435A56-CF86-4D14-A0A1-EBF390278CDF,
96,Special Housing Standing Committee of the City Council and Planning Commission,5/29/2019,,3:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=34831&GUID=8725ACC7-A1F2-46D0-96CF-4C61855D568D,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688738&GUID=534B17E6-A70E-4013-B0CC-C3D4768C583B,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=688738&GUID=534B17E6-A70E-4013-B0CC-C3D4768C583B&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=688738&GUID=534B17E6-A70E-4013-B0CC-C3D4768C583B,
97,City Council,5/22/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688727&GUID=36CC9531-56DA-4177-96BD-71A9B93CB29D,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=688727&GUID=36CC9531-56DA-4177-96BD-71A9B93CB29D&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=688727&GUID=36CC9531-56DA-4177-96BD-71A9B93CB29D,https://ci-ssf-ca.legistar.com/#
98,Joint Special Meeting City Council and Successor Agency,5/22/2019,,6:31 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33115&GUID=D910DD47-1BE7-4A30-BB44-BB79B01AC673,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688739&GUID=D35B2A5F-CC33-45E4-A154-E23E0FB41635,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=688739&GUID=D35B2A5F-CC33-45E4-A154-E23E0FB41635&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=688739&GUID=D35B2A5F-CC33-45E4-A154-E23E0FB41635,
99,Successor Agency to the Redevelopment Agency,5/22/2019,,6:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32814&GUID=BBE8CEFA-3AE9-47A2-8845-BE6A5AF1ABC0,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=694711&GUID=60099C0B-6372-4A8A-8BE5-920A943256D6,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=694711&GUID=60099C0B-6372-4A8A-8BE5-920A943256D6&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=694711&GUID=60099C0B-6372-4A8A-8BE5-920A943256D6,
0,Special Parking Place Commission,5/22/2019,,5:00 PM,"Corporation Yard Conference Room
550 North Canal Street, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=38846&GUID=34F83CF5-212F-40ED-A0FE-5E234960CEB9,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=694710&GUID=1BE0D79A-D9B7-4252-AA1B-26EE44903C2F,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=694710&GUID=1BE0D79A-D9B7-4252-AA1B-26EE44903C2F&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=694710&GUID=1BE0D79A-D9B7-4252-AA1B-26EE44903C2F,
1,Housing Standing Committee of the City Council and Planning Commission,5/20/2019,,5:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CAMEETING CANCELLED",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32885&GUID=3AFE0044-8905-46F5-BFED-8303508C5233,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=689703&GUID=4461DE48-4E51-4219-919F-B79C4580235F,,,,,
2,Mock City Council (inactive),5/20/2019,,3:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=40037&GUID=08A6D2F4-D8AA-496B-A6DC-7F17DD5DB4FE,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=691555&GUID=4FA5FFA4-712E-47F0-A76E-629328F88AD4,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=691555&GUID=4FA5FFA4-712E-47F0-A76E-629328F88AD4&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=691555&GUID=4FA5FFA4-712E-47F0-A76E-629328F88AD4,
3,Planning Commission,5/16/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=693635&GUID=31348264-6DC4-4A03-8BB3-A72C979A098D,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=693635&GUID=31348264-6DC4-4A03-8BB3-A72C979A098D&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=693635&GUID=31348264-6DC4-4A03-8BB3-A72C979A098D,
4,Special City Council,5/13/2019,,6:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CAMEETING CANCELLED",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688745&GUID=AFB9638E-E9D7-4AF0-86D4-E0595604CF5A,,,,,
5,City Council,5/8/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688726&GUID=A7E8A705-1562-4AF6-B939-5989AF8DE527,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=688726&GUID=A7E8A705-1562-4AF6-B939-5989AF8DE527&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=688726&GUID=A7E8A705-1562-4AF6-B939-5989AF8DE527,https://ci-ssf-ca.legistar.com/#
6,Budget Standing Committee of the City Council,5/1/2019,,3:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32601&GUID=7850A6C0-63E5-4C2C-8DA1-125FC9322777,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=683268&GUID=825F15E8-1221-4D32-9A7D-CE09D5E413A3,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=683268&GUID=825F15E8-1221-4D32-9A7D-CE09D5E413A3&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=683268&GUID=825F15E8-1221-4D32-9A7D-CE09D5E413A3,
7,Joint Special Meeting City Council and Planning Commission,4/29/2019,,6:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33193&GUID=6DA33626-A7C8-482B-BE0B-1783E57C816A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=686591&GUID=A61CCAC4-1398-426B-82F5-74068C217D46,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=686591&GUID=A61CCAC4-1398-426B-82F5-74068C217D46&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=686591&GUID=A61CCAC4-1398-426B-82F5-74068C217D46,
8,City Council,4/24/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=686440&GUID=69B9B7BB-FFAF-4F1E-B624-46DB661649D9,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=686440&GUID=69B9B7BB-FFAF-4F1E-B624-46DB661649D9&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=686440&GUID=69B9B7BB-FFAF-4F1E-B624-46DB661649D9,https://ci-ssf-ca.legistar.com/#
9,Successor Agency to the Redevelopment Agency,4/24/2019,,6:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32814&GUID=BBE8CEFA-3AE9-47A2-8845-BE6A5AF1ABC0,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=686441&GUID=EA8580A7-894C-4E82-8736-086BA4C792A4,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=686441&GUID=EA8580A7-894C-4E82-8736-086BA4C792A4&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=686441&GUID=EA8580A7-894C-4E82-8736-086BA4C792A4,
10,Special City Council,4/24/2019,,6:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=686444&GUID=8937D5C7-2BCB-48EE-AD3B-B15644DB5B75,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=686444&GUID=8937D5C7-2BCB-48EE-AD3B-B15644DB5B75&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=686444&GUID=8937D5C7-2BCB-48EE-AD3B-B15644DB5B75,https://ci-ssf-ca.legistar.com/#
11,Planning Commission,4/18/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=677183&GUID=732A9B0B-B6DB-4BD5-A2C0-0477C3F5331B,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=677183&GUID=732A9B0B-B6DB-4BD5-A2C0-0477C3F5331B&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=677183&GUID=732A9B0B-B6DB-4BD5-A2C0-0477C3F5331B,
12,Parks and Recreation Commission,4/16/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA 94080",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32895&GUID=8483CBBE-C64F-4E18-8F3C-B5CA4597E3BA,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=695059&GUID=A10AC793-C01B-4C01-8AEB-B0E4578FD9DE,,,,,
13,Housing Standing Committee of the City Council and Planning Commission,4/15/2019,,5:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CAMEETING CANCELLED",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32885&GUID=3AFE0044-8905-46F5-BFED-8303508C5233,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=686445&GUID=0001CDA5-9753-4C01-B098-36BE46107219,,,,,
14,City Council,4/10/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=687107&GUID=36680841-FC23-4474-895E-A7669DD90ACF,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=687107&GUID=36680841-FC23-4474-895E-A7669DD90ACF&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=687107&GUID=36680841-FC23-4474-895E-A7669DD90ACF,https://ci-ssf-ca.legistar.com/#
15,Special City Council,4/10/2019,,6:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688046&GUID=6729C0B5-4133-42F2-ACDD-9FD24AD2DBB3,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=688046&GUID=6729C0B5-4133-42F2-ACDD-9FD24AD2DBB3&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=688046&GUID=6729C0B5-4133-42F2-ACDD-9FD24AD2DBB3,https://ci-ssf-ca.legistar.com/#
16,Special City Council,4/9/2019,,6:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=683321&GUID=18367370-F11F-4D7B-9D54-5050862A9304,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=683321&GUID=18367370-F11F-4D7B-9D54-5050862A9304&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=683321&GUID=18367370-F11F-4D7B-9D54-5050862A9304,
17,Parking Place Commission,4/9/2019,,5:00 PM,"Corporation Yard Conference Room, 550 North Canal Street",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32896&GUID=7F326DD8-823F-4DDC-AC7C-E9F7DE6CC797,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688566&GUID=543511F1-8502-444C-BEB3-66F341A79C7D,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=688566&GUID=543511F1-8502-444C-BEB3-66F341A79C7D&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=688566&GUID=543511F1-8502-444C-BEB3-66F341A79C7D,
18,School District Liaison Standing Committee of the City Council,4/8/2019,,3:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32887&GUID=4E5BCE5C-2AC9-4B71-86D0-D5B1B6A59017,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=680839&GUID=A02B96A1-50B0-4519-AEDB-378516484E6C,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=680839&GUID=A02B96A1-50B0-4519-AEDB-378516484E6C&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=680839&GUID=A02B96A1-50B0-4519-AEDB-378516484E6C,
19,Planning Commission,4/4/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CAMEETING CANCELLED",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=677182&GUID=D143CF84-674E-4EF3-A10C-68A7F5BED774,,,,,
20,Measure W Citizens' Oversight Committee,4/3/2019,,6:30 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32886&GUID=A2D91238-E1E8-48B7-A7EC-F23077B8F727,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=676622&GUID=35AA0C7B-5359-46CD-A69E-8971C742F365,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=676622&GUID=35AA0C7B-5359-46CD-A69E-8971C742F365&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=676622&GUID=35AA0C7B-5359-46CD-A69E-8971C742F365,
21,City Council,3/27/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=682590&GUID=03BD9BEB-FAEF-4394-BCE6-A33FBCDE77F3,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=682590&GUID=03BD9BEB-FAEF-4394-BCE6-A33FBCDE77F3&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=682590&GUID=03BD9BEB-FAEF-4394-BCE6-A33FBCDE77F3,https://ci-ssf-ca.legistar.com/#
22,Successor Agency to the Redevelopment Agency,3/27/2019,,6:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32814&GUID=BBE8CEFA-3AE9-47A2-8845-BE6A5AF1ABC0,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=682591&GUID=A1D443C6-AEDC-4742-A4BA-E117BA723F89,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=682591&GUID=A1D443C6-AEDC-4742-A4BA-E117BA723F89&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=682591&GUID=A1D443C6-AEDC-4742-A4BA-E117BA723F89,
23,Special City Council,3/27/2019,,5:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=682593&GUID=A5611AC2-2868-40CA-ACC9-5694BC31CBDA,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=682593&GUID=A5611AC2-2868-40CA-ACC9-5694BC31CBDA&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=682593&GUID=A5611AC2-2868-40CA-ACC9-5694BC31CBDA,
24,Planning Commission,3/21/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=677181&GUID=0196F0B8-1C96-44B1-81EF-E53DE5EC9FA6,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=677181&GUID=0196F0B8-1C96-44B1-81EF-E53DE5EC9FA6&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=677181&GUID=0196F0B8-1C96-44B1-81EF-E53DE5EC9FA6,https://ci-ssf-ca.legistar.com/#
25,Special City Council,3/20/2019,,7:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=682608&GUID=73958751-BCAD-4BAC-932C-3FDA2A849388,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=682608&GUID=73958751-BCAD-4BAC-932C-3FDA2A849388&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=682608&GUID=73958751-BCAD-4BAC-932C-3FDA2A849388,
26,Housing Standing Committee of the City Council and Planning Commission,3/18/2019,,5:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CAMEETING CANCELLED",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32885&GUID=3AFE0044-8905-46F5-BFED-8303508C5233,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=673296&GUID=5B02A878-61FF-4B76-896B-50D50CB80D60,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=673296&GUID=5B02A878-61FF-4B76-896B-50D50CB80D60&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=673296&GUID=5B02A878-61FF-4B76-896B-50D50CB80D60,
27,Community Development Block Grant Standing Committee of the City Council,3/15/2019,,3:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32882&GUID=8DD744AC-61D0-44A9-9F1A-E2B8AC4B1800,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=677070&GUID=80BCBEBA-C303-4876-B8E0-4677BCDD7786,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=677070&GUID=80BCBEBA-C303-4876-B8E0-4677BCDD7786&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=677070&GUID=80BCBEBA-C303-4876-B8E0-4677BCDD7786,
28,Special City Council,3/13/2019,,7:01 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=684351&GUID=EF618127-8BEB-4ADA-B7F6-0F4A734EF859,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=684351&GUID=EF618127-8BEB-4ADA-B7F6-0F4A734EF859&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=684351&GUID=EF618127-8BEB-4ADA-B7F6-0F4A734EF859,
