,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Video URL
47,City Council,1/11/2017,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=515454&GUID=E56F1C07-D992-4A4C-B657-FDC908AACB12,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=515454&GUID=E56F1C07-D992-4A4C-B657-FDC908AACB12&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=515454&GUID=E56F1C07-D992-4A4C-B657-FDC908AACB12,https://ci-ssf-ca.legistar.com/#
48,Special City Council,1/11/2017,,6:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=526503&GUID=17F5FE89-5769-4A39-8430-00DA858FE9D4,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=526503&GUID=17F5FE89-5769-4A39-8430-00DA858FE9D4&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=526503&GUID=17F5FE89-5769-4A39-8430-00DA858FE9D4,
49,Planning Commission,1/5/2017,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=523570&GUID=428DE192-004D-46B0-A036-AEA08750E2CB,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=523570&GUID=428DE192-004D-46B0-A036-AEA08750E2CB&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=523570&GUID=428DE192-004D-46B0-A036-AEA08750E2CB,
50,Housing Standing Committee of the City Council and Planning Commission,1/4/2017,,11:30 AM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32885&GUID=3AFE0044-8905-46F5-BFED-8303508C5233,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=521726&GUID=D357916F-B08C-4868-9054-017E9E9DF6F8,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=521726&GUID=D357916F-B08C-4868-9054-017E9E9DF6F8&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=521726&GUID=D357916F-B08C-4868-9054-017E9E9DF6F8,
51,Budget Standing Committee of the City Council,12/19/2016,,2:00 PM,"City Hall Annex, Conference Room
315 Maple Avenue, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32601&GUID=7850A6C0-63E5-4C2C-8DA1-125FC9322777,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=522368&GUID=99EFF27F-6158-4A36-8464-D579C717102A,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=522368&GUID=99EFF27F-6158-4A36-8464-D579C717102A&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=522368&GUID=99EFF27F-6158-4A36-8464-D579C717102A,
52,Planning Commission,12/15/2016,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32898&GUID=00089F17-549D-4750-BEAB-D874B7DB6D86,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=517863&GUID=7FA0D34A-DE37-498D-806B-522AEA4E9D44,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=517863&GUID=7FA0D34A-DE37-498D-806B-522AEA4E9D44&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=517863&GUID=7FA0D34A-DE37-498D-806B-522AEA4E9D44,
53,City Council,12/14/2016,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Video,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=520765&GUID=52BA95C7-855B-4CBD-94CA-E194FEE389BB,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=520765&GUID=52BA95C7-855B-4CBD-94CA-E194FEE389BB&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=520765&GUID=52BA95C7-855B-4CBD-94CA-E194FEE389BB,https://ci-ssf-ca.legistar.com/#
54,Capital Improvement Financing Authority,12/14/2016,,6:56 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=34745&GUID=EB07C296-01F5-462C-B635-416FBFD67F30,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=520021&GUID=039F31B4-3E89-4CB7-8E8F-3668863C852B,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=520021&GUID=039F31B4-3E89-4CB7-8E8F-3668863C852B&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=520021&GUID=039F31B4-3E89-4CB7-8E8F-3668863C852B,
55,Recreation and Park District,12/14/2016,,6:55 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=34746&GUID=194CBF66-C3A2-4D92-8181-8546E4B12A8A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=520023&GUID=769B1470-28FA-4516-9912-8FB973514C56,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=520023&GUID=769B1470-28FA-4516-9912-8FB973514C56&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=520023&GUID=769B1470-28FA-4516-9912-8FB973514C56,
56,Joint Special Meeting City Council and Successor Agency,12/14/2016,,6:01 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Agenda,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33115&GUID=D910DD47-1BE7-4A30-BB44-BB79B01AC673,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=520790&GUID=C293173D-10FF-45B5-BD04-FBFBB4EC2DC7,,,https://ci-ssf-ca.legistar.com/MeetingDetail.aspx?ID=520790&GUID=C293173D-10FF-45B5-BD04-FBFBB4EC2DC7&Options=info&Search=,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=520790&GUID=C293173D-10FF-45B5-BD04-FBFBB4EC2DC7,
