,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Staff/ProjectApplicant Presentations Text,Agenda Text,Action Minutes Text,Documents ReceivedAfter Published Agenda Text,Official Minutes Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Staff/ProjectApplicant Presentations URL,Agenda URL,Action Minutes URL,Documents ReceivedAfter Published Agenda URL,Official Minutes URL,Video URL
67,Community Services Commission,5/16/2018,,7:00 PM,"City Hall, Conference Room 1C",Meeting details,Not available,Agenda,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33054&GUID=027C1AA2-CDED-402C-A698-AAD69F2E4027,,View.ashx?M=IC&ID=593198&GUID=C9547485-12CA-43C5-9EE8-3A31ACAF4C55,,,MeetingDetail.aspx?ID=593198&GUID=C9547485-12CA-43C5-9EE8-3A31ACAF4C55&Options=info&Search=,,View.ashx?M=A&ID=593198&GUID=C9547485-12CA-43C5-9EE8-3A31ACAF4C55,,,,
68,Council Budget and Finance Committee,5/16/2018,,4:00 PM,"City Hall, Conference Room 4A",Meeting details,Not available,Agenda,Not available,Not available,Official Minutes 5/16/18,Not available,DepartmentDetail.aspx?ID=31135&GUID=3D30F25C-B59C-41F3-821C-3B979C454041,,View.ashx?M=IC&ID=559561&GUID=F3208AC6-B6E8-4F58-9B98-3F48E074AB0C,,,MeetingDetail.aspx?ID=559561&GUID=F3208AC6-B6E8-4F58-9B98-3F48E074AB0C&Options=info&Search=,,View.ashx?M=A&ID=559561&GUID=F3208AC6-B6E8-4F58-9B98-3F48E074AB0C,,,View.ashx?M=E3&ID=559561&GUID=F3208AC6-B6E8-4F58-9B98-3F48E074AB0C,
69,City Council,5/15/2018,,7:00 PM,Council Chambers,Meeting details,Presentations,Agenda,Action Minutes,Documents Received After Published Agenda,Minutes of 05/15/18,Video,DepartmentDetail.aspx?ID=30850&GUID=ABB40C93-B4A0-406D-809B-03936402537F,,View.ashx?M=IC&ID=602597&GUID=F3B7F268-7D48-48C6-B1C3-0F62BCF65EE3,,,MeetingDetail.aspx?ID=602597&GUID=F3B7F268-7D48-48C6-B1C3-0F62BCF65EE3&Options=info&Search=,View.ashx?M=E1&ID=602597&GUID=F3B7F268-7D48-48C6-B1C3-0F62BCF65EE3,View.ashx?M=A&ID=602597&GUID=F3B7F268-7D48-48C6-B1C3-0F62BCF65EE3,View.ashx?M=M&ID=602597&GUID=F3B7F268-7D48-48C6-B1C3-0F62BCF65EE3,View.ashx?M=E2&ID=602597&GUID=F3B7F268-7D48-48C6-B1C3-0F62BCF65EE3,View.ashx?M=E3&ID=602597&GUID=F3B7F268-7D48-48C6-B1C3-0F62BCF65EE3,#
70,City Council,5/15/2018,,5:00 PM,Conference Room 2B,Meeting details,Not available,Agenda,Not available,Not available,None,Not available,DepartmentDetail.aspx?ID=30850&GUID=ABB40C93-B4A0-406D-809B-03936402537F,,View.ashx?M=IC&ID=606706&GUID=8A720D85-2EA0-4105-8CB6-2A0CBF7C830D,,,MeetingDetail.aspx?ID=606706&GUID=8A720D85-2EA0-4105-8CB6-2A0CBF7C830D&Options=info&Search=,,View.ashx?M=A&ID=606706&GUID=8A720D85-2EA0-4105-8CB6-2A0CBF7C830D,,,View.ashx?M=E3&ID=606706&GUID=8A720D85-2EA0-4105-8CB6-2A0CBF7C830D,
71,Council Sustainability Committee,5/14/2018,,4:30 PM,"City Hall, Conference Room 2A",Meeting details,Presentations,Agenda,Not available,Not available,Minutes of 03/12/18,Not available,DepartmentDetail.aspx?ID=31137&GUID=9F7A1574-CEE5-4561-9583-FA470B25A505,,View.ashx?M=IC&ID=606470&GUID=055AB488-F4F5-4B69-87E0-0ED3AFF08474,,,MeetingDetail.aspx?ID=606470&GUID=055AB488-F4F5-4B69-87E0-0ED3AFF08474&Options=info&Search=,View.ashx?M=E1&ID=606470&GUID=055AB488-F4F5-4B69-87E0-0ED3AFF08474,View.ashx?M=A&ID=606470&GUID=055AB488-F4F5-4B69-87E0-0ED3AFF08474,,,View.ashx?M=E3&ID=606470&GUID=055AB488-F4F5-4B69-87E0-0ED3AFF08474,
72,Council Appointed Officers Committee,5/14/2018,,3:00 PM,Conference Room 4B,Meeting details,Not available,Agenda,Not available,2018/05/14 REVISED CAOC Agenda,Not available,Not available,DepartmentDetail.aspx?ID=30852&GUID=1F8785D3-3953-4C01-9E3B-847ED83D31E8,,View.ashx?M=IC&ID=607366&GUID=CB6FA627-B1FD-47B8-B605-C9D881BB674F,,,MeetingDetail.aspx?ID=607366&GUID=CB6FA627-B1FD-47B8-B605-C9D881BB674F&Options=info&Search=,,View.ashx?M=A&ID=607366&GUID=CB6FA627-B1FD-47B8-B605-C9D881BB674F,,View.ashx?M=E2&ID=607366&GUID=CB6FA627-B1FD-47B8-B605-C9D881BB674F,,
73,Planning Commission,5/10/2018,,7:00 PM,Council Chambers,Meeting details,Presentations,Agenda,Action Minutes,Not available,Minutes of 05/10/18,Video,DepartmentDetail.aspx?ID=30859&GUID=61527508-1071-493D-93C4-0CCF21DD457A,,View.ashx?M=IC&ID=594993&GUID=AF1CAAF3-CF47-49CB-B7B4-3A893F76B4F5,,,MeetingDetail.aspx?ID=594993&GUID=AF1CAAF3-CF47-49CB-B7B4-3A893F76B4F5&Options=info&Search=,View.ashx?M=E1&ID=594993&GUID=AF1CAAF3-CF47-49CB-B7B4-3A893F76B4F5,View.ashx?M=A&ID=594993&GUID=AF1CAAF3-CF47-49CB-B7B4-3A893F76B4F5,View.ashx?M=M&ID=594993&GUID=AF1CAAF3-CF47-49CB-B7B4-3A893F76B4F5,,View.ashx?M=E3&ID=594993&GUID=AF1CAAF3-CF47-49CB-B7B4-3A893F76B4F5,#
74,Personnel Commission,5/10/2018,,5:30 PM,"City Hall, Conference Room 2A",Meeting details,Not available,Agenda,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33058&GUID=71ACE8DB-7577-4F0D-BA3A-BB5A9B7CA70A,,View.ashx?M=IC&ID=603931&GUID=3D0FC172-0EDA-49DE-A2DB-E2D5AC430BF3,,,MeetingDetail.aspx?ID=603931&GUID=3D0FC172-0EDA-49DE-A2DB-E2D5AC430BF3&Options=info&Search=,,View.ashx?M=A&ID=603931&GUID=3D0FC172-0EDA-49DE-A2DB-E2D5AC430BF3,,,,
75,City Council,5/8/2018,,7:00 PM,Council Chambers,Meeting details,Presentations,Agenda,Action Minutes,Documents Received After Published Agenda,Minutes of 05/08/18,Video,DepartmentDetail.aspx?ID=30850&GUID=ABB40C93-B4A0-406D-809B-03936402537F,,View.ashx?M=IC&ID=602596&GUID=2EFB2BFB-0E33-4CF7-99A7-E90097F37CFE,,,MeetingDetail.aspx?ID=602596&GUID=2EFB2BFB-0E33-4CF7-99A7-E90097F37CFE&Options=info&Search=,View.ashx?M=E1&ID=602596&GUID=2EFB2BFB-0E33-4CF7-99A7-E90097F37CFE,View.ashx?M=A&ID=602596&GUID=2EFB2BFB-0E33-4CF7-99A7-E90097F37CFE,View.ashx?M=M&ID=602596&GUID=2EFB2BFB-0E33-4CF7-99A7-E90097F37CFE,View.ashx?M=E2&ID=602596&GUID=2EFB2BFB-0E33-4CF7-99A7-E90097F37CFE,View.ashx?M=E3&ID=602596&GUID=2EFB2BFB-0E33-4CF7-99A7-E90097F37CFE,#
76,City Council,5/8/2018,,5:00 PM,Conference Room 2B,Meeting details,Not available,Agenda,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30850&GUID=ABB40C93-B4A0-406D-809B-03936402537F,,View.ashx?M=IC&ID=605621&GUID=1A3AA0F7-9632-40C4-AB50-79D3FD888343,,,MeetingDetail.aspx?ID=605621&GUID=1A3AA0F7-9632-40C4-AB50-79D3FD888343&Options=info&Search=,,View.ashx?M=A&ID=605621&GUID=1A3AA0F7-9632-40C4-AB50-79D3FD888343,,,,
