,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL
2,Mayor's Task Force on Affordable and Workforce Housing,9/26/2018,,3:00 PM,"EDD Conference Room, 3rd Floor, City Hall, 425 N. El Dorado Street, Stockton, CA",Meeting details,Meeting Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=37349&GUID=A7EC6A91-2EC5-4225-816F-B3676AA70432,,https://stockton.legistar.com/View.ashx?M=IC&ID=646599&GUID=A84C0F5E-423A-455B-8262-C3892035A796,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=646599&GUID=A84C0F5E-423A-455B-8262-C3892035A796&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=646599&GUID=A84C0F5E-423A-455B-8262-C3892035A796,,
3,Parks and Recreation Commission,9/24/2018,,5:30 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA** CANCELLED **",Meeting details,Cancelled Meeting Notice,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=23044&GUID=6C64FE09-2DD0-4B03-97BE-9C63532B420F,,https://stockton.legistar.com/View.ashx?M=IC&ID=639157&GUID=7F6661C0-0F1E-4BC5-8727-72916262D57A,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=639157&GUID=7F6661C0-0F1E-4BC5-8727-72916262D57A&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=639157&GUID=7F6661C0-0F1E-4BC5-8727-72916262D57A,,
4,Civil Service/Equal Employment Commission Concurrent,9/20/2018,,3:00 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22179&GUID=EFA0F03E-6C5C-481F-B556-EC259E22A8EE,,https://stockton.legistar.com/View.ashx?M=IC&ID=585461&GUID=3563D8F0-E3DA-4F05-AA6C-A2EFA03843D3,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=585461&GUID=3563D8F0-E3DA-4F05-AA6C-A2EFA03843D3&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=585461&GUID=3563D8F0-E3DA-4F05-AA6C-A2EFA03843D3,,
5,Measure A Citizens' Advisory Committee,9/19/2018,,9:00 AM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA** SPECIAL **",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=33312&GUID=4582E7C8-14DE-4360-BB88-1B7F600FDFEE,,https://stockton.legistar.com/View.ashx?M=IC&ID=614062&GUID=55D38819-D953-4794-A580-DC24B1FA9672,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=614062&GUID=55D38819-D953-4794-A580-DC24B1FA9672&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=614062&GUID=55D38819-D953-4794-A580-DC24B1FA9672,,
6,City Council/Successor Agency to the Redevelopment Agency/Public Financing Authority/Parking Authority Concurrent,9/18/2018,,4:00 PM,"Council Chamber, City Hall, 425 N. El Dorado Street, Stockton CAClosed Session 4:00 PM :: Regular Session 5:30 PM",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=20742&GUID=D8BDACAC-407F-44E9-9768-9B33C389D164,,https://stockton.legistar.com/View.ashx?M=IC&ID=603863&GUID=7C0E6EB7-5239-432F-8A35-FD5235E49CAE,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=603863&GUID=7C0E6EB7-5239-432F-8A35-FD5235E49CAE&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=603863&GUID=7C0E6EB7-5239-432F-8A35-FD5235E49CAE,,
7,Planning Commission,9/13/2018,,5:30 PM,"Council Chamber, City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22178&GUID=3798BB13-BAB3-44E6-BC29-0345411F84DC,,https://stockton.legistar.com/View.ashx?M=IC&ID=575469&GUID=F56F1536-D89D-40D9-B08A-056F4B200F9E,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=575469&GUID=F56F1536-D89D-40D9-B08A-056F4B200F9E&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=575469&GUID=F56F1536-D89D-40D9-B08A-056F4B200F9E,,
8,Council Water Committee,9/13/2018,,4:00 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA** CANCELLED **",Meeting details,Cancelled Meeting Notice,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22177&GUID=DCAC49D0-9417-48E3-B697-3746F8FFA5F6,,https://stockton.legistar.com/View.ashx?M=IC&ID=595761&GUID=D9F1EC34-0A63-4CE2-BC46-3CCC65991673,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=595761&GUID=D9F1EC34-0A63-4CE2-BC46-3CCC65991673&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=595761&GUID=D9F1EC34-0A63-4CE2-BC46-3CCC65991673,,
9,Stockton Arts Commission,9/10/2018,,5:30 PM,"Oak Park Senior Center, 730 E. Fulton Street, Stockton CA",Meeting details,Meeting Agenda Packet,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22183&GUID=B2B39B26-5801-49BA-ACE3-AD5BC8356DC1,,https://stockton.legistar.com/View.ashx?M=IC&ID=632162&GUID=5F864B8F-69FC-42D7-9025-4C48EB8D1E6B,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=632162&GUID=5F864B8F-69FC-42D7-9025-4C48EB8D1E6B&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=632162&GUID=5F864B8F-69FC-42D7-9025-4C48EB8D1E6B,,
10,Council Audit Committee,9/10/2018,,3:30 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA** CANCELLED **",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=21720&GUID=C323CDF5-4077-4351-BC2C-4A91756C2DC3,,https://stockton.legistar.com/View.ashx?M=IC&ID=614061&GUID=5762479E-0372-48E5-9644-56C9D90435E2,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=614061&GUID=5762479E-0372-48E5-9644-56C9D90435E2&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=614061&GUID=5762479E-0372-48E5-9644-56C9D90435E2,,
11,Water Advisory Group,9/5/2018,,3:30 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA**SPECIAL**",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22184&GUID=E615C06F-B727-44EF-BB05-F51BDAFF2002,,https://stockton.legistar.com/View.ashx?M=IC&ID=595749&GUID=9821B94F-4E14-44B9-8D96-F737BB0404F0,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=595749&GUID=9821B94F-4E14-44B9-8D96-F737BB0404F0&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=595749&GUID=9821B94F-4E14-44B9-8D96-F737BB0404F0,,
