,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,eComment Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL,eComment URL
10,Airport Commission,2/11/2019,,6:00 PM,"1701 Airport Blvd., Boeing/McDonnellConference Room",Meeting details,Agenda_Airport,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33262&GUID=CD266D5B-0088-4324-A9DC-313570064A0D,,View.ashx?M=IC&ID=678478&GUID=92D095D8-8BBB-492E-A3A5-73BB1E6D89D7,,,MeetingDetail.aspx?ID=678478&GUID=92D095D8-8BBB-492E-A3A5-73BB1E6D89D7&Options=info&Search=,View.ashx?M=A&ID=678478&GUID=92D095D8-8BBB-492E-A3A5-73BB1E6D89D7,,,
11,City Council,2/11/2019,,1:30 PM,Council ChambersStudy Session - CANCELLED,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=675581&GUID=B41101D3-1075-4EBB-AB38-EF36114FE013,,,,,,,
12,Miscellaneous Agendas,2/11/2019,,10:00 AM,"1737 N. First Street, Ste 580 5th Floor Board Room, San Jose, CA 95112Police and Fire Disability Committee",Meeting details,Agenda PF Disability,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39462&GUID=40D14E69-5689-4CC3-BC16-0F4AC2C1398E,,View.ashx?M=IC&ID=677084&GUID=30A55646-E715-4631-8F98-8B2A580D31A9,,,MeetingDetail.aspx?ID=677084&GUID=30A55646-E715-4631-8F98-8B2A580D31A9&Options=info&Search=,View.ashx?M=A&ID=677084&GUID=30A55646-E715-4631-8F98-8B2A580D31A9,,,
13,Civil Service Commission,2/7/2019,,4:00 PM,"City Hall, Room W120",Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33265&GUID=A33F5A91-EF8E-45A8-931E-04D23921E041,,View.ashx?M=IC&ID=670587&GUID=2B8625EF-3DC2-4D41-ABC5-60E080C02638,,,,,,,
14,Smart Cities and Service Improvements Committee,2/7/2019,,1:30 PM,Council Chambers,Meeting details,Agenda,Minutes,Video,Not available,DepartmentDetail.aspx?ID=30888&GUID=A22EB8DC-1A6B-4E86-AFA5-0A8150476A33,,View.ashx?M=IC&ID=669951&GUID=3F096B9C-206E-47C7-ABA5-1B5BEBB69261,,,MeetingDetail.aspx?ID=669951&GUID=3F096B9C-206E-47C7-ABA5-1B5BEBB69261&Options=info&Search=,View.ashx?M=A&ID=669951&GUID=3F096B9C-206E-47C7-ABA5-1B5BEBB69261,View.ashx?M=M&ID=669951&GUID=3F096B9C-206E-47C7-ABA5-1B5BEBB69261,#,
15,Historic Landmarks Commission,2/6/2019,,6:30 PM,,Meeting details,Agenda_HLC,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33270&GUID=652B9C94-9FF8-4DC9-9165-8D89997C5EE5,,View.ashx?M=IC&ID=671172&GUID=F09B5B7B-AE15-4E2F-A20C-9F81100D39B3,,,MeetingDetail.aspx?ID=671172&GUID=F09B5B7B-AE15-4E2F-A20C-9F81100D39B3&Options=info&Search=,View.ashx?M=A&ID=671172&GUID=F09B5B7B-AE15-4E2F-A20C-9F81100D39B3,,,
16,Neighborhoods Commission,2/6/2019,,6:00 PM,City Hall Tower 1752Independent Citizens Oversight Committee,Meeting details,Agenda NC Sub,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33274&GUID=462819F6-C95F-4E35-82DD-6BBDE50AB235,,View.ashx?M=IC&ID=677326&GUID=D53BC9BF-DFC7-44B0-977B-61FA534E4C58,,,MeetingDetail.aspx?ID=677326&GUID=D53BC9BF-DFC7-44B0-977B-61FA534E4C58&Options=info&Search=,View.ashx?M=A&ID=677326&GUID=D53BC9BF-DFC7-44B0-977B-61FA534E4C58,,,
17,Parks and Recreation Commission,2/6/2019,,5:30 PM,"City Hall, Rooms W118/119",Meeting details,Agenda Parks and Rec,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33275&GUID=80B66436-0D8A-4E82-AF54-98DA54B0F637,,View.ashx?M=IC&ID=676288&GUID=4E292243-FBDF-4B8E-A882-C862B2FCADB5,,,MeetingDetail.aspx?ID=676288&GUID=4E292243-FBDF-4B8E-A882-C862B2FCADB5&Options=info&Search=,View.ashx?M=A&ID=676288&GUID=4E292243-FBDF-4B8E-A882-C862B2FCADB5,,,
18,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,2/6/2019,,2:00 PM,Wing W118-120,Meeting details,Agenda,Minutes,Video,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=661131&GUID=EA8EA595-101B-4B85-A58B-FB123343F65F,,,MeetingDetail.aspx?ID=661131&GUID=EA8EA595-101B-4B85-A58B-FB123343F65F&Options=info&Search=,View.ashx?M=A&ID=661131&GUID=EA8EA595-101B-4B85-A58B-FB123343F65F,View.ashx?M=M&ID=661131&GUID=EA8EA595-101B-4B85-A58B-FB123343F65F,#,
19,Downtown Parking Board,2/6/2019,,10:00 AM,"City Hall, 13th Floor, Room 1446",Meeting details,Agenda DPB,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33268&GUID=1949FD5A-CD33-4F14-9117-494D21B4970B,,View.ashx?M=IC&ID=676024&GUID=134484DA-5012-480B-ADA0-C09A1095131D,,,MeetingDetail.aspx?ID=676024&GUID=134484DA-5012-480B-ADA0-C09A1095131D&Options=info&Search=,View.ashx?M=A&ID=676024&GUID=134484DA-5012-480B-ADA0-C09A1095131D,,,
20,Planning Director's Hearing,2/6/2019,,9:00 AM,Council Chambers,Meeting details,Agenda PDH,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39455&GUID=68BBDB32-CD8D-4DD1-B2D4-029E1D4BE44E,,View.ashx?M=IC&ID=677083&GUID=DE245233-CE0F-4AF1-8EEC-36CF52329C2A,,,MeetingDetail.aspx?ID=677083&GUID=DE245233-CE0F-4AF1-8EEC-36CF52329C2A&Options=info&Search=,View.ashx?M=A&ID=677083&GUID=DE245233-CE0F-4AF1-8EEC-36CF52329C2A,,,
