,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,eComment Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL,eComment URL
31,AD-HOC Committee for Housing Construction & Development Services,8/22/2019,,9:00 AM,Wing 118/119/120,Meeting details,Agenda,Minutes,Video,Not available,DepartmentDetail.aspx?ID=36549&GUID=86A322E7-ED37-4211-A317-E454EAD937A2,,View.ashx?M=IC&ID=714784&GUID=B4892752-3895-4966-A4CA-C6884C185DDC,,,MeetingDetail.aspx?ID=714784&GUID=B4892752-3895-4966-A4CA-C6884C185DDC&Options=info&Search=,View.ashx?M=A&ID=714784&GUID=B4892752-3895-4966-A4CA-C6884C185DDC,View.ashx?M=M&ID=714784&GUID=B4892752-3895-4966-A4CA-C6884C185DDC,#,
32,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,8/21/2019,,2:00 PM,Wing Rooms W118-120,Meeting details,Agenda,Minutes,Video,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=709130&GUID=F34A3F0E-22F2-4DF1-A996-421AED88EC99,,,MeetingDetail.aspx?ID=709130&GUID=F34A3F0E-22F2-4DF1-A996-421AED88EC99&Options=info&Search=,View.ashx?M=A&ID=709130&GUID=F34A3F0E-22F2-4DF1-A996-421AED88EC99,View.ashx?M=M&ID=709130&GUID=F34A3F0E-22F2-4DF1-A996-421AED88EC99,#,
33,Historic Landmarks Commission,8/21/2019,,1:00 PM,City Hall Tower Room T-332CANCELLED,Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33270&GUID=652B9C94-9FF8-4DC9-9165-8D89997C5EE5,,View.ashx?M=IC&ID=715874&GUID=230F991C-FF58-4D85-8F00-6B4ABEC613F4,,,MeetingDetail.aspx?ID=715874&GUID=230F991C-FF58-4D85-8F00-6B4ABEC613F4&Options=info&Search=,View.ashx?M=A&ID=715874&GUID=230F991C-FF58-4D85-8F00-6B4ABEC613F4,,,
34,Planning Director's Hearing,8/21/2019,,9:00 AM,Council ChambersCANCELLED,Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39455&GUID=68BBDB32-CD8D-4DD1-B2D4-029E1D4BE44E,,View.ashx?M=IC&ID=715558&GUID=DB08AC00-F10D-407F-8ECA-41BA855F69B6,,,MeetingDetail.aspx?ID=715558&GUID=DB08AC00-F10D-407F-8ECA-41BA855F69B6&Options=info&Search=,View.ashx?M=A&ID=715558&GUID=DB08AC00-F10D-407F-8ECA-41BA855F69B6,,,
35,City Council,8/20/2019,,1:30 PM,Council Chambers,Meeting details,Agenda,Synopsis,Video,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=709091&GUID=42AEBCC0-30AB-4B2E-89B4-A0BA4E620A43,,,MeetingDetail.aspx?ID=709091&GUID=42AEBCC0-30AB-4B2E-89B4-A0BA4E620A43&Options=info&Search=,View.ashx?M=A&ID=709091&GUID=42AEBCC0-30AB-4B2E-89B4-A0BA4E620A43,View.ashx?M=M&ID=709091&GUID=42AEBCC0-30AB-4B2E-89B4-A0BA4E620A43,#,
36,Human Services Commission,8/15/2019,,6:15 PM,"City Hall, Tower Room 1753",Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33272&GUID=6F42C90E-4D38-480F-82C5-E67AE947D519,,View.ashx?M=IC&ID=714824&GUID=01EBDF9A-7802-45C8-85EE-4EAC9BF5A6CC,,,MeetingDetail.aspx?ID=714824&GUID=01EBDF9A-7802-45C8-85EE-4EAC9BF5A6CC&Options=info&Search=,,,,
37,"Public Safety, Finance and Strategic Support Committee (PSFSS)",8/15/2019,,1:30 PM,Wing Rooms W118 - W120,Meeting details,Agenda,Not available,Video,Not available,DepartmentDetail.aspx?ID=30890&GUID=AD2BBF1D-A701-4CDE-B9FC-851732F4751B,,View.ashx?M=IC&ID=709899&GUID=9E5FD867-A729-4FB6-A8F5-6EA085928DEA,,,MeetingDetail.aspx?ID=709899&GUID=9E5FD867-A729-4FB6-A8F5-6EA085928DEA&Options=info&Search=,View.ashx?M=A&ID=709899&GUID=9E5FD867-A729-4FB6-A8F5-6EA085928DEA,,#,
38,Miscellaneous Agendas,8/15/2019,,11:30 AM,"1737 N. First Street, Suite 580
5th Floor Board Room
San Jose, CA 95112Police & Fire Retirement Plan Audit/Risk Committee",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39462&GUID=40D14E69-5689-4CC3-BC16-0F4AC2C1398E,,View.ashx?M=IC&ID=714649&GUID=60A7007B-89FE-4F5C-B667-7ED769CA45A7,,,MeetingDetail.aspx?ID=714649&GUID=60A7007B-89FE-4F5C-B667-7ED769CA45A7&Options=info&Search=,View.ashx?M=A&ID=714649&GUID=60A7007B-89FE-4F5C-B667-7ED769CA45A7,,,
39,Planning Commission,8/14/2019,,6:30 PM,Wing Rooms W118-119,Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33276&GUID=2F0818DD-0F86-4796-9F63-6068DB0D5060,,View.ashx?M=IC&ID=714541&GUID=92CBDA91-C517-4DB9-948B-1E4EE70D6EC9,,,MeetingDetail.aspx?ID=714541&GUID=92CBDA91-C517-4DB9-948B-1E4EE70D6EC9&Options=info&Search=,View.ashx?M=A&ID=714541&GUID=92CBDA91-C517-4DB9-948B-1E4EE70D6EC9,,,
40,Neighborhoods Commission,8/14/2019,,6:00 PM,"City Hall, Tower Room 1734",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33274&GUID=462819F6-C95F-4E35-82DD-6BBDE50AB235,,View.ashx?M=IC&ID=714648&GUID=5AF2FD9D-9ECC-496E-9B62-42CB535870AE,,,MeetingDetail.aspx?ID=714648&GUID=5AF2FD9D-9ECC-496E-9B62-42CB535870AE&Options=info&Search=,View.ashx?M=A&ID=714648&GUID=5AF2FD9D-9ECC-496E-9B62-42CB535870AE,,,
41,Parks and Recreation Commission,8/14/2019,,5:30 PM,"Rose Garden Library
Community RoomCANCELLED",Meeting details,Cancellation Notice,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33275&GUID=80B66436-0D8A-4E82-AF54-98DA54B0F637,,View.ashx?M=IC&ID=714273&GUID=85D5E0AC-F3C3-4F13-A7E8-6938BBD0A620,,,MeetingDetail.aspx?ID=714273&GUID=85D5E0AC-F3C3-4F13-A7E8-6938BBD0A620&Options=info&Search=,View.ashx?M=A&ID=714273&GUID=85D5E0AC-F3C3-4F13-A7E8-6938BBD0A620,,,
42,Board of Fair Campaign and Political Practices (BFCPP),8/14/2019,,5:30 PM,"City Hall, Tower Room 1446",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33269&GUID=B63BC346-AA5A-4388-B5AA-9E2E3C538196,,View.ashx?M=IC&ID=714647&GUID=C8971056-CC95-46AA-B8FE-CF6836A1E3E2,,,MeetingDetail.aspx?ID=714647&GUID=C8971056-CC95-46AA-B8FE-CF6836A1E3E2&Options=info&Search=,View.ashx?M=A&ID=714647&GUID=C8971056-CC95-46AA-B8FE-CF6836A1E3E2,,,
43,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,8/14/2019,,2:00 PM,Wing Rooms W118-120,Meeting details,Agenda,Not available,Video,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=709129&GUID=B6CDD5C5-098E-413C-B8F8-B6A3F952457B,,,MeetingDetail.aspx?ID=709129&GUID=B6CDD5C5-098E-413C-B8F8-B6A3F952457B&Options=info&Search=,View.ashx?M=A&ID=709129&GUID=B6CDD5C5-098E-413C-B8F8-B6A3F952457B,,#,
44,Miscellaneous Agendas,8/14/2019,,2:00 PM,"City Hall, T-550Digital Privacy Advisory Taskforce",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39462&GUID=40D14E69-5689-4CC3-BC16-0F4AC2C1398E,,View.ashx?M=IC&ID=714974&GUID=D7F793A6-9A47-40C1-885B-0B1ACDE2EC64,,,MeetingDetail.aspx?ID=714974&GUID=D7F793A6-9A47-40C1-885B-0B1ACDE2EC64&Options=info&Search=,View.ashx?M=A&ID=714974&GUID=D7F793A6-9A47-40C1-885B-0B1ACDE2EC64,,,
45,Mayor's Gang Prevention Task Force,8/14/2019,,12:00 PM,"City Hall, Room T-1854",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39519&GUID=8FAF48F6-BFB8-4DB5-A6B2-5394EE3D7C5D,,View.ashx?M=IC&ID=714825&GUID=DE541C99-AAA9-4F72-844E-02EB14D184AC,,,MeetingDetail.aspx?ID=714825&GUID=DE541C99-AAA9-4F72-844E-02EB14D184AC&Options=info&Search=,View.ashx?M=A&ID=714825&GUID=DE541C99-AAA9-4F72-844E-02EB14D184AC,,,
46,Planning Director's Hearing,8/14/2019,,9:00 AM,City Hall Tower Room 1753CANCELLED,Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39455&GUID=68BBDB32-CD8D-4DD1-B2D4-029E1D4BE44E,,View.ashx?M=IC&ID=714553&GUID=B6497FFD-2ADC-4FA5-93F4-127EB3FBEE17,,,MeetingDetail.aspx?ID=714553&GUID=B6497FFD-2ADC-4FA5-93F4-127EB3FBEE17&Options=info&Search=,View.ashx?M=A&ID=714553&GUID=B6497FFD-2ADC-4FA5-93F4-127EB3FBEE17,,,
47,City Council,8/13/2019,,1:30 PM,Council Chambers,Meeting details,Agenda,Minutes,Video,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=709090&GUID=74BA10BD-E03A-4891-81FC-7DA745C796B0,,,MeetingDetail.aspx?ID=709090&GUID=74BA10BD-E03A-4891-81FC-7DA745C796B0&Options=info&Search=,View.ashx?M=A&ID=709090&GUID=74BA10BD-E03A-4891-81FC-7DA745C796B0,View.ashx?M=M&ID=709090&GUID=74BA10BD-E03A-4891-81FC-7DA745C796B0,#,
48,Airport Commission,8/12/2019,,6:00 PM,"1701 Airport Blvd., Suite B-1130",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33262&GUID=CD266D5B-0088-4324-A9DC-313570064A0D,,View.ashx?M=IC&ID=713083&GUID=775B6BC2-03A2-4FD0-A7D1-37BF5514857B,,,MeetingDetail.aspx?ID=713083&GUID=775B6BC2-03A2-4FD0-A7D1-37BF5514857B&Options=info&Search=,View.ashx?M=A&ID=713083&GUID=775B6BC2-03A2-4FD0-A7D1-37BF5514857B,,,
49,Youth Commission,8/9/2019,,10:30 AM,"Almaden Community Center
6445 Camden Avenue
San Jose, CA 95120Annual Retreat - August 9th -11th, 2019",Meeting details,Retreat Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33278&GUID=B7DFECE6-C351-4413-8BF6-AFF364E42543,,View.ashx?M=IC&ID=713344&GUID=53B8C467-6181-44DD-9FC8-F2444041BE4D,,,MeetingDetail.aspx?ID=713344&GUID=53B8C467-6181-44DD-9FC8-F2444041BE4D&Options=info&Search=,View.ashx?M=A&ID=713344&GUID=53B8C467-6181-44DD-9FC8-F2444041BE4D,,,
50,Appeals Hearing Board,8/8/2019,,6:30 PM,Council ChambersCANCELLED,Meeting details,Cancellation Notice,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33263&GUID=BB9C853F-3D76-41BC-8F4F-DF7CFC2DDD57,,View.ashx?M=IC&ID=713165&GUID=9984117B-DFCD-49E7-A3F6-09284E5B0119,,,MeetingDetail.aspx?ID=713165&GUID=9984117B-DFCD-49E7-A3F6-09284E5B0119&Options=info&Search=,View.ashx?M=A&ID=713165&GUID=9984117B-DFCD-49E7-A3F6-09284E5B0119,,,
51,Miscellaneous Agendas,8/8/2019,,3:30 PM,Clean Water Financing Authority - CANCELLED,Meeting details,Cancellation Notice,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39462&GUID=40D14E69-5689-4CC3-BC16-0F4AC2C1398E,,View.ashx?M=IC&ID=714469&GUID=0064C88D-7BDB-4B29-9CF4-8F360FFE32FD,,,MeetingDetail.aspx?ID=714469&GUID=0064C88D-7BDB-4B29-9CF4-8F360FFE32FD&Options=info&Search=,View.ashx?M=A&ID=714469&GUID=0064C88D-7BDB-4B29-9CF4-8F360FFE32FD,,,
52,Neighborhood Services and Education Committee (NSE),8/8/2019,,1:30 PM,Wing Rooms 118-120CANCELLED,Meeting details,Cancellation Notice,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21678&GUID=9BE13212-2A5F-4E35-9334-75E444952FA6,,View.ashx?M=IC&ID=711315&GUID=A3C552D6-4E5A-4646-A5B0-A01B88655DB5,,,MeetingDetail.aspx?ID=711315&GUID=A3C552D6-4E5A-4646-A5B0-A01B88655DB5&Options=info&Search=,View.ashx?M=A&ID=711315&GUID=A3C552D6-4E5A-4646-A5B0-A01B88655DB5,,,
53,Miscellaneous Agendas,8/8/2019,,10:00 AM,"152 N. 3rd Street, Suite 602 San José, CA 95112Office of the Independent Police Auditor",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39462&GUID=40D14E69-5689-4CC3-BC16-0F4AC2C1398E,,View.ashx?M=IC&ID=712460&GUID=EE67B67B-CDA5-4541-9C86-BC253D6C5BEC,,,MeetingDetail.aspx?ID=712460&GUID=EE67B67B-CDA5-4541-9C86-BC253D6C5BEC&Options=info&Search=,View.ashx?M=A&ID=712460&GUID=EE67B67B-CDA5-4541-9C86-BC253D6C5BEC,,,
54,Senior Citizens Commission,8/8/2019,,9:00 AM,"Union Local 393
August 8, 2019 Multi-purpose Room
6150 Cottle Rd
San Jose, CA 95123Annual Retreat",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33277&GUID=B30A8CA2-90B9-46BD-9A51-2614ACA16808,,View.ashx?M=IC&ID=713599&GUID=6249818F-50F3-4613-8191-D019A048FC9D,,,MeetingDetail.aspx?ID=713599&GUID=6249818F-50F3-4613-8191-D019A048FC9D&Options=info&Search=,View.ashx?M=A&ID=713599&GUID=6249818F-50F3-4613-8191-D019A048FC9D,,,
55,Miscellaneous Agendas,8/7/2019,,6:30 PM,Council ChambersHistoric Landmarks Commission,Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39462&GUID=40D14E69-5689-4CC3-BC16-0F4AC2C1398E,,View.ashx?M=IC&ID=713793&GUID=A26A0283-7AAC-4E9E-9B01-04FA2FDBE7A3,,,MeetingDetail.aspx?ID=713793&GUID=A26A0283-7AAC-4E9E-9B01-04FA2FDBE7A3&Options=info&Search=,View.ashx?M=A&ID=713793&GUID=A26A0283-7AAC-4E9E-9B01-04FA2FDBE7A3,,,
56,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,8/7/2019,,2:00 PM,Wing Rooms W118-120,Meeting details,Agenda,Not available,Video,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=709128&GUID=5A725C70-CDF1-4B12-B239-7C786392188F,,,MeetingDetail.aspx?ID=709128&GUID=5A725C70-CDF1-4B12-B239-7C786392188F&Options=info&Search=,View.ashx?M=A&ID=709128&GUID=5A725C70-CDF1-4B12-B239-7C786392188F,,#,
57,Planning Director's Hearing,8/7/2019,,9:00 AM,Council ChambersCANCELLED,Meeting details,Cancellation Notice,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39455&GUID=68BBDB32-CD8D-4DD1-B2D4-029E1D4BE44E,,View.ashx?M=IC&ID=713648&GUID=5CB89B19-091C-4941-8F14-513F41CF227A,,,MeetingDetail.aspx?ID=713648&GUID=5CB89B19-091C-4941-8F14-513F41CF227A&Options=info&Search=,View.ashx?M=A&ID=713648&GUID=5CB89B19-091C-4941-8F14-513F41CF227A,,,
58,City Council,8/6/2019,,1:30 PM,Council ChambersNational Night Out,Meeting details,Agenda,Synopsis,Video,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=709089&GUID=35ED95E1-7996-41A7-8C51-F19F06D073FB,,,MeetingDetail.aspx?ID=709089&GUID=35ED95E1-7996-41A7-8C51-F19F06D073FB&Options=info&Search=,View.ashx?M=A&ID=709089&GUID=35ED95E1-7996-41A7-8C51-F19F06D073FB,View.ashx?M=M&ID=709089&GUID=35ED95E1-7996-41A7-8C51-F19F06D073FB,#,
59,Clean Energy Community Advisory Commission,8/5/2019,,6:00 PM,"City Hall, Tower Room 1446",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39246&GUID=35E8BB65-8C49-4553-A3EF-66263D01F8D2,,View.ashx?M=IC&ID=713540&GUID=5C698EA7-9D38-439F-B49A-C960B76BF353,,,MeetingDetail.aspx?ID=713540&GUID=5C698EA7-9D38-439F-B49A-C960B76BF353&Options=info&Search=,View.ashx?M=A&ID=713540&GUID=5C698EA7-9D38-439F-B49A-C960B76BF353,,,
60,Arts Commission,8/5/2019,,5:30 PM,"City Hall, Tower Room 1254",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33264&GUID=BDBE9798-E2AE-4D3D-95B2-61DD68F7C88C,,View.ashx?M=IC&ID=713926&GUID=2E6AEF98-408D-44D8-98CB-2EC393D7CA15,,,MeetingDetail.aspx?ID=713926&GUID=2E6AEF98-408D-44D8-98CB-2EC393D7CA15&Options=info&Search=,View.ashx?M=A&ID=713926&GUID=2E6AEF98-408D-44D8-98CB-2EC393D7CA15,,,
61,Transportation and Environment Committee (T&E),8/5/2019,,1:30 PM,Wing W118-120CANCELLED,Meeting details,Cancellation Notice,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33885&GUID=B8D373E4-359D-470B-962C-BFAA26D7ED6E,,View.ashx?M=IC&ID=709894&GUID=B96FD042-B280-40FC-9E49-512CCA8B2EF9,,,MeetingDetail.aspx?ID=709894&GUID=B96FD042-B280-40FC-9E49-512CCA8B2EF9&Options=info&Search=,View.ashx?M=A&ID=709894&GUID=B96FD042-B280-40FC-9E49-512CCA8B2EF9,,,
62,Civil Service Commission,8/1/2019,,4:00 PM,Council ChambersNOTE ROOM CHANGE,Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33265&GUID=A33F5A91-EF8E-45A8-931E-04D23921E041,,View.ashx?M=IC&ID=713248&GUID=A9388AF7-E5F4-4B68-861C-3DA10D22F38F,,,MeetingDetail.aspx?ID=713248&GUID=A9388AF7-E5F4-4B68-861C-3DA10D22F38F&Options=info&Search=,View.ashx?M=A&ID=713248&GUID=A9388AF7-E5F4-4B68-861C-3DA10D22F38F,,,
63,Smart Cities and Service Improvements Committee,8/1/2019,,1:30 PM,Council ChambersCANCELLED,Meeting details,Cancellation Notice,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30888&GUID=A22EB8DC-1A6B-4E86-AFA5-0A8150476A33,,View.ashx?M=IC&ID=711262&GUID=9CE50215-DAF1-4D51-B59B-35A783D67D75,,,MeetingDetail.aspx?ID=711262&GUID=9CE50215-DAF1-4D51-B59B-35A783D67D75&Options=info&Search=,View.ashx?M=A&ID=711262&GUID=9CE50215-DAF1-4D51-B59B-35A783D67D75,,,
64,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,7/31/2019,,2:00 PM,Wing Rooms W118-120,Meeting details,Agenda,Not available,Video,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=709112&GUID=A1AFA12B-33EB-4DDD-9698-E3FEE896D47D,,,MeetingDetail.aspx?ID=709112&GUID=A1AFA12B-33EB-4DDD-9698-E3FEE896D47D&Options=info&Search=,View.ashx?M=A&ID=709112&GUID=A1AFA12B-33EB-4DDD-9698-E3FEE896D47D,,#,
65,Planning Director's Hearing,7/31/2019,,9:00 AM,Council Chambers,Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39455&GUID=68BBDB32-CD8D-4DD1-B2D4-029E1D4BE44E,,View.ashx?M=IC&ID=712297&GUID=779F7136-FED6-4987-9127-81458E8679A0,,,MeetingDetail.aspx?ID=712297&GUID=779F7136-FED6-4987-9127-81458E8679A0&Options=info&Search=,View.ashx?M=A&ID=712297&GUID=779F7136-FED6-4987-9127-81458E8679A0,,,
66,Appeals Hearing Board,7/25/2019,,6:30 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33263&GUID=BB9C853F-3D76-41BC-8F4F-DF7CFC2DDD57,,View.ashx?M=IC&ID=711237&GUID=F957AB5E-C5E2-4288-B3FB-839ADC46A46C,,,MeetingDetail.aspx?ID=711237&GUID=F957AB5E-C5E2-4288-B3FB-839ADC46A46C&Options=info&Search=,View.ashx?M=A&ID=711237&GUID=F957AB5E-C5E2-4288-B3FB-839ADC46A46C,,,
67,Planning Commission,7/24/2019,,6:30 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33276&GUID=2F0818DD-0F86-4796-9F63-6068DB0D5060,,View.ashx?M=IC&ID=712052&GUID=A00713D6-DE20-4057-8A4F-1B5F59B460E2,,,MeetingDetail.aspx?ID=712052&GUID=A00713D6-DE20-4057-8A4F-1B5F59B460E2&Options=info&Search=,View.ashx?M=A&ID=712052&GUID=A00713D6-DE20-4057-8A4F-1B5F59B460E2,,,
68,Planning Director's Hearing,7/24/2019,,9:00 AM,Council ChambersCANCELLED,Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39455&GUID=68BBDB32-CD8D-4DD1-B2D4-029E1D4BE44E,,View.ashx?M=IC&ID=711978&GUID=D251E265-7644-48CB-83E0-C907DA5FA9A5,,,MeetingDetail.aspx?ID=711978&GUID=D251E265-7644-48CB-83E0-C907DA5FA9A5&Options=info&Search=,View.ashx?M=A&ID=711978&GUID=D251E265-7644-48CB-83E0-C907DA5FA9A5,,,
69,Clean Energy Community Advisory Commission,7/22/2019,,6:00 PM,"City Hall, Tower Room 1446",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39246&GUID=35E8BB65-8C49-4553-A3EF-66263D01F8D2,,View.ashx?M=IC&ID=711701&GUID=3670BBBF-7960-48D8-8584-A7073ACA972A,,,MeetingDetail.aspx?ID=711701&GUID=3670BBBF-7960-48D8-8584-A7073ACA972A&Options=info&Search=,View.ashx?M=A&ID=711701&GUID=3670BBBF-7960-48D8-8584-A7073ACA972A,,,
70,Historic Landmarks Commission,7/17/2019,,1:00 PM,"City Hall, Tower Room 332Design Review Subcommittee",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33270&GUID=652B9C94-9FF8-4DC9-9165-8D89997C5EE5,,View.ashx?M=IC&ID=711236&GUID=6C4B27AB-9207-4E33-B664-5251FE6D8710,,,MeetingDetail.aspx?ID=711236&GUID=6C4B27AB-9207-4E33-B664-5251FE6D8710&Options=info&Search=,View.ashx?M=A&ID=711236&GUID=6C4B27AB-9207-4E33-B664-5251FE6D8710,,,
71,Miscellaneous Agendas,7/17/2019,,12:00 PM,"City Hall, 12th Flr, Room T-1254City Hall Exhibits Committee",Meeting details,CH Exhibits Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39462&GUID=40D14E69-5689-4CC3-BC16-0F4AC2C1398E,,View.ashx?M=IC&ID=711438&GUID=9122F26E-4FE9-4FAD-918C-8BCFECCDE5B4,,,MeetingDetail.aspx?ID=711438&GUID=9122F26E-4FE9-4FAD-918C-8BCFECCDE5B4&Options=info&Search=,View.ashx?M=A&ID=711438&GUID=9122F26E-4FE9-4FAD-918C-8BCFECCDE5B4,,,
72,Planning Director's Hearing,7/17/2019,,9:00 AM,Council ChambersCANCELLED,Meeting details,Cancellation Notice,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39455&GUID=68BBDB32-CD8D-4DD1-B2D4-029E1D4BE44E,,View.ashx?M=IC&ID=711085&GUID=52E2D897-7200-40C8-B03A-61155932DE7F,,,MeetingDetail.aspx?ID=711085&GUID=52E2D897-7200-40C8-B03A-61155932DE7F&Options=info&Search=,View.ashx?M=A&ID=711085&GUID=52E2D897-7200-40C8-B03A-61155932DE7F,,,
73,Appeals Hearing Board,7/11/2019,,6:30 PM,Council ChambersCANCELLED,Meeting details,Cancelled Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33263&GUID=BB9C853F-3D76-41BC-8F4F-DF7CFC2DDD57,,View.ashx?M=IC&ID=710253&GUID=F062576A-9E35-495B-88F1-C9268C6B7988,,,MeetingDetail.aspx?ID=710253&GUID=F062576A-9E35-495B-88F1-C9268C6B7988&Options=info&Search=,View.ashx?M=A&ID=710253&GUID=F062576A-9E35-495B-88F1-C9268C6B7988,,,
74,Planning Commission,7/10/2019,,6:30 PM,Council ChambersCANCELLED,Meeting details,PC Cancelled,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33276&GUID=2F0818DD-0F86-4796-9F63-6068DB0D5060,,View.ashx?M=IC&ID=710229&GUID=220EB257-D601-485D-8304-1E624D346293,,,MeetingDetail.aspx?ID=710229&GUID=220EB257-D601-485D-8304-1E624D346293&Options=info&Search=,View.ashx?M=A&ID=710229&GUID=220EB257-D601-485D-8304-1E624D346293,,,
75,Planning Director's Hearing,7/10/2019,,9:00 AM,Council Chambers,Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39455&GUID=68BBDB32-CD8D-4DD1-B2D4-029E1D4BE44E,,View.ashx?M=IC&ID=710370&GUID=42CC3519-EB7C-496D-878B-0C22C5D4FAEC,,,MeetingDetail.aspx?ID=710370&GUID=42CC3519-EB7C-496D-878B-0C22C5D4FAEC&Options=info&Search=,View.ashx?M=A&ID=710370&GUID=42CC3519-EB7C-496D-878B-0C22C5D4FAEC,,,
76,Civil Service Commission,7/4/2019,,,"Tower Room, 1446CANCELLED",Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33265&GUID=A33F5A91-EF8E-45A8-931E-04D23921E041,,View.ashx?M=IC&ID=709702&GUID=164670AB-9B6B-40AA-BF28-B1D5E0855DCA,,,MeetingDetail.aspx?ID=709702&GUID=164670AB-9B6B-40AA-BF28-B1D5E0855DCA&Options=info&Search=,,,,
77,Miscellaneous Agendas,7/1/2019,,6:15 PM,"City Hall, Tower Room 847Bicycle & Pedestrian Advisory Committee",Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39462&GUID=40D14E69-5689-4CC3-BC16-0F4AC2C1398E,,View.ashx?M=IC&ID=708444&GUID=15ED4045-82CE-46C7-858E-ED643F21D658,,,MeetingDetail.aspx?ID=708444&GUID=15ED4045-82CE-46C7-858E-ED643F21D658&Options=info&Search=,View.ashx?M=A&ID=708444&GUID=15ED4045-82CE-46C7-858E-ED643F21D658,,,
78,Appeals Hearing Board,6/27/2019,,6:30 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,Not available,DepartmentDetail.aspx?ID=33263&GUID=BB9C853F-3D76-41BC-8F4F-DF7CFC2DDD57,,View.ashx?M=IC&ID=708445&GUID=220D2B16-A7C5-4067-85AB-1E5A17884DC1,,,MeetingDetail.aspx?ID=708445&GUID=220D2B16-A7C5-4067-85AB-1E5A17884DC1&Options=info&Search=,View.ashx?M=A&ID=708445&GUID=220D2B16-A7C5-4067-85AB-1E5A17884DC1,,,
