,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Agenda Packet Text,Video or Audio Text,Caption Notes Text,eComment Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Agenda Packet URL,Video or Audio URL,Caption Notes URL,eComment URL
70,"Economic Development, Communications, and Marketing Committee",6/3/2019,,3:00 PM,"City Hall – Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Agenda,Not available,Agenda Packet,Not available,Not available,Not available,DepartmentDetail.aspx?ID=39512&GUID=7E415715-48DB-4933-B6F1-68E2C5AA3D66,,View.ashx?M=IC&ID=680249&GUID=A6799E7D-3AC0-4FA2-8EAD-A2E06A1CC0B1,,,MeetingDetail.aspx?ID=680249&GUID=A6799E7D-3AC0-4FA2-8EAD-A2E06A1CC0B1&Options=info&Search=,View.ashx?M=A&ID=680249&GUID=A6799E7D-3AC0-4FA2-8EAD-A2E06A1CC0B1,,View.ashx?M=E2&ID=680249&GUID=A6799E7D-3AC0-4FA2-8EAD-A2E06A1CC0B1,,,
71,Salary Setting Commission,5/30/2019,,Canceled,"City Hall - Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Agenda,Not available,Packet,Not available,Not available,Not available,DepartmentDetail.aspx?ID=38926&GUID=F36C7988-D706-4E61-905B-CBE77EB26502,,View.ashx?M=IC&ID=687116&GUID=745C554D-6C51-4FEE-BADC-D8A13E121BC7,,,MeetingDetail.aspx?ID=687116&GUID=745C554D-6C51-4FEE-BADC-D8A13E121BC7&Options=info&Search=,View.ashx?M=A&ID=687116&GUID=745C554D-6C51-4FEE-BADC-D8A13E121BC7,,View.ashx?M=E2&ID=687116&GUID=745C554D-6C51-4FEE-BADC-D8A13E121BC7,,,
72,Salary Setting Commission,5/23/2019,,7:00 PM,"City Hall - Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Agenda,Minutes,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=38926&GUID=F36C7988-D706-4E61-905B-CBE77EB26502,,View.ashx?M=IC&ID=687115&GUID=6293F503-0C34-4EF0-855E-355083CD4886,,,MeetingDetail.aspx?ID=687115&GUID=6293F503-0C34-4EF0-855E-355083CD4886&Options=info&Search=,View.ashx?M=A&ID=687115&GUID=6293F503-0C34-4EF0-855E-355083CD4886,View.ashx?M=M&ID=687115&GUID=6293F503-0C34-4EF0-855E-355083CD4886,View.ashx?M=E2&ID=687115&GUID=6293F503-0C34-4EF0-855E-355083CD4886,#,#,
73,Planning Commission,5/22/2019,,6:00 PM,City Hall Council Chambers,Meeting details,Agenda,Minutes,Agenda Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=35684&GUID=249B4801-61A9-45B3-A4BA-904F6F83C9D0,,View.ashx?M=IC&ID=644884&GUID=AD987997-7C1F-4252-919B-EA344F4E73FB,,,MeetingDetail.aspx?ID=644884&GUID=AD987997-7C1F-4252-919B-EA344F4E73FB&Options=info&Search=,View.ashx?M=A&ID=644884&GUID=AD987997-7C1F-4252-919B-EA344F4E73FB,View.ashx?M=M&ID=644884&GUID=AD987997-7C1F-4252-919B-EA344F4E73FB,View.ashx?M=E2&ID=644884&GUID=AD987997-7C1F-4252-919B-EA344F4E73FB,#,#,
74,Parks & Recreation Commission,5/21/2019,,7:00 PM,"Cafeteria - City Hall East Wing 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Agenda,Minutes,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=36905&GUID=483358F9-AEE1-43AF-8894-80EDC2CB70D7,,View.ashx?M=IC&ID=687335&GUID=BD0C35BB-C06C-4F63-903A-A42F3BF574BD,,,MeetingDetail.aspx?ID=687335&GUID=BD0C35BB-C06C-4F63-903A-A42F3BF574BD&Options=info&Search=,View.ashx?M=A&ID=687335&GUID=BD0C35BB-C06C-4F63-903A-A42F3BF574BD,View.ashx?M=M&ID=687335&GUID=BD0C35BB-C06C-4F63-903A-A42F3BF574BD,View.ashx?M=E2&ID=687335&GUID=BD0C35BB-C06C-4F63-903A-A42F3BF574BD,#,#,
75,Council and Authorities Concurrent Meeting,5/21/2019,,3:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Agenda,Minutes,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=640657&GUID=0551B947-F71B-4FD0-A165-54E3E382E013,,,MeetingDetail.aspx?ID=640657&GUID=0551B947-F71B-4FD0-A165-54E3E382E013&Options=info&Search=,View.ashx?M=A&ID=640657&GUID=0551B947-F71B-4FD0-A165-54E3E382E013,View.ashx?M=M&ID=640657&GUID=0551B947-F71B-4FD0-A165-54E3E382E013,View.ashx?M=E2&ID=640657&GUID=0551B947-F71B-4FD0-A165-54E3E382E013,#,#,
76,Senior Advisory Commission,5/20/2019,,10:00 AM,"Central Park Library
2635 Homestead Rd.
Santa Clara, CA 95051",Meeting details,Agenda,Minutes,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=36906&GUID=D6A40F99-A066-4309-858C-5B6E6EF4C6EE,,View.ashx?M=IC&ID=687336&GUID=4BA7512B-4D76-4B09-8655-22D3FB87D114,,,MeetingDetail.aspx?ID=687336&GUID=4BA7512B-4D76-4B09-8655-22D3FB87D114&Options=info&Search=,View.ashx?M=A&ID=687336&GUID=4BA7512B-4D76-4B09-8655-22D3FB87D114,View.ashx?M=M&ID=687336&GUID=4BA7512B-4D76-4B09-8655-22D3FB87D114,View.ashx?M=E2&ID=687336&GUID=4BA7512B-4D76-4B09-8655-22D3FB87D114,#,#,
77,Governance and Ethics Committee,5/16/2019,,Canceled,City Hall – Council Chambers,Meeting details,Cancellation Notice,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36950&GUID=35831CF3-67DE-4D08-8FB8-FEEDBC280699,,View.ashx?M=IC&ID=679342&GUID=87DC05C6-F826-48AE-B7F0-0E81B44D7DC4,,,MeetingDetail.aspx?ID=679342&GUID=87DC05C6-F826-48AE-B7F0-0E81B44D7DC4&Options=info&Search=,View.ashx?M=A&ID=679342&GUID=87DC05C6-F826-48AE-B7F0-0E81B44D7DC4,,,,,
78,Architectural Committee,5/15/2019,,6:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=38941&GUID=3DF56D6C-1164-41FC-AD92-68C689BC639A,,View.ashx?M=IC&ID=662199&GUID=223C49F1-49A1-4671-8982-8AFE453F4735,,,,,,,,,
79,Youth Commission,5/14/2019,,6:00 PM,"Teen Center
2446 Cabrillo Avenue
Santa Clara, CA 95051",Meeting details,Agenda,Minutes,Packet,Video or Audio,Caption Notes,Not available,DepartmentDetail.aspx?ID=36909&GUID=A481232D-8B63-4D4C-B474-D6E8073824D5,,View.ashx?M=IC&ID=687135&GUID=9873CC0D-07AF-4C2F-BAB1-F63BD7FD6235,,,MeetingDetail.aspx?ID=687135&GUID=9873CC0D-07AF-4C2F-BAB1-F63BD7FD6235&Options=info&Search=,View.ashx?M=A&ID=687135&GUID=9873CC0D-07AF-4C2F-BAB1-F63BD7FD6235,View.ashx?M=M&ID=687135&GUID=9873CC0D-07AF-4C2F-BAB1-F63BD7FD6235,View.ashx?M=E2&ID=687135&GUID=9873CC0D-07AF-4C2F-BAB1-F63BD7FD6235,#,#,
