,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Media Column Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Media Column URL
2,Parks and Recreation Commission and Urban Forestry Board,12/13/2017,,7:00 PM,Senior Center - 266 Escuela Avenue,Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=573239&GUID=47233D0E-0ED7-4216-8344-79F2CCD742AE,,,MeetingDetail.aspx?ID=573239&GUID=47233D0E-0ED7-4216-8344-79F2CCD742AE&Options=info&Search=,View.ashx?M=A&ID=573239&GUID=47233D0E-0ED7-4216-8344-79F2CCD742AE,,
3,City Council,12/12/2017,,5:30 PM,Council Chambers - 500 Castro St.JOINT MEETING OF THE CITY COUNCIL (REGULAR) AND THE SHORELINE REGIONAL PARK COMMUNITY (SPECIAL),Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=559261&GUID=CB2DA600-AD7D-4E15-BF93-CDD160C727D0,,,MeetingDetail.aspx?ID=559261&GUID=CB2DA600-AD7D-4E15-BF93-CDD160C727D0&Options=info&Search=,View.ashx?M=A&ID=559261&GUID=CB2DA600-AD7D-4E15-BF93-CDD160C727D0,View.ashx?M=M&ID=559261&GUID=CB2DA600-AD7D-4E15-BF93-CDD160C727D0,#
4,City Council,12/12/2017,,5:30 PM,Plaza & Council Chambers - 500 Castro St.SPECIAL MEETING OF THE SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=584868&GUID=51CB17FA-B62A-4C35-83C4-B2C953DE1C7A,,,,,,
5,Library Board,12/11/2017,,7:00 PM,Gossamer Conference Room,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=573913&GUID=0104B8A8-2156-4AAA-8A67-073865C7F280,,,MeetingDetail.aspx?ID=573913&GUID=0104B8A8-2156-4AAA-8A67-073865C7F280&Options=info&Search=,,View.ashx?M=M&ID=573913&GUID=0104B8A8-2156-4AAA-8A67-073865C7F280,
6,Human Relations Commission,12/7/2017,,6:30 PM,Plaza Conference Room,Meeting details,Not available,Minutes,Media,,,View.ashx?M=IC&ID=575742&GUID=539170CA-8554-45CD-B462-7D117832A4F7,,,MeetingDetail.aspx?ID=575742&GUID=539170CA-8554-45CD-B462-7D117832A4F7&Options=info&Search=,,View.ashx?M=M&ID=575742&GUID=539170CA-8554-45CD-B462-7D117832A4F7,#
7,Environmental Planning Commission,12/6/2017,,7:00 PM,Council Chambers,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=578230&GUID=4A0C08ED-D65F-40CC-99BB-9700E9291871,,,MeetingDetail.aspx?ID=578230&GUID=4A0C08ED-D65F-40CC-99BB-9700E9291871&Options=info&Search=,View.ashx?M=A&ID=578230&GUID=4A0C08ED-D65F-40CC-99BB-9700E9291871,View.ashx?M=M&ID=578230&GUID=4A0C08ED-D65F-40CC-99BB-9700E9291871,#
8,Human Relations Commission,12/5/2017,,6:30 PM,Plaza Conference Room,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=579511&GUID=3B952AC0-FE88-4420-B3FB-0E8C6F45E681,,,,,,
9,City Council,12/5/2017,,6:30 PM,Council Chambers - 500 Castro St.SPECIAL MEETING OF THE SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=584862&GUID=130E444E-35AB-47C7-AA79-AF207E3C222E,,,,,View.ashx?M=M&ID=584862&GUID=130E444E-35AB-47C7-AA79-AF207E3C222E,
10,City Council,12/5/2017,,5:00 PM,Council Chambers - 500 Castro St.JOINT SPECIAL MEETING OF THE CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=559631&GUID=EE724544-5FD1-437D-ABAE-378AEF0DFD29,,,MeetingDetail.aspx?ID=559631&GUID=EE724544-5FD1-437D-ABAE-378AEF0DFD29&Options=info&Search=,View.ashx?M=A&ID=559631&GUID=EE724544-5FD1-437D-ABAE-378AEF0DFD29,View.ashx?M=M&ID=559631&GUID=EE724544-5FD1-437D-ABAE-378AEF0DFD29,#
11,Rental Housing Committee,12/4/2017,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=577671&GUID=7E704BD5-D342-4D47-A331-02D74C7712E5,,,MeetingDetail.aspx?ID=577671&GUID=7E704BD5-D342-4D47-A331-02D74C7712E5&Options=info&Search=,View.ashx?M=A&ID=577671&GUID=7E704BD5-D342-4D47-A331-02D74C7712E5,View.ashx?M=M&ID=577671&GUID=7E704BD5-D342-4D47-A331-02D74C7712E5,#
12,City Council,11/28/2017,,6:30 PM,Council Chambers - 500 Castro St.SPECIAL MEETING OF THE SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=584852&GUID=A602415D-C430-4D9E-BCAA-067E6C89EDB9,,,,,View.ashx?M=M&ID=584852&GUID=A602415D-C430-4D9E-BCAA-067E6C89EDB9,
13,City Council,11/28/2017,,5:00 PM,Council Chambers - 500 Castro St.JOINT MEETING OF THE CITY COUNCIL (REGULAR) AND THE SHORELINE REGIONAL PARK COMMUNITY (SPECIAL),Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=559386&GUID=2C8AA2FC-2C28-4D60-A243-05D1A8F19EB1,,,MeetingDetail.aspx?ID=559386&GUID=2C8AA2FC-2C28-4D60-A243-05D1A8F19EB1&Options=info&Search=,View.ashx?M=A&ID=559386&GUID=2C8AA2FC-2C28-4D60-A243-05D1A8F19EB1,View.ashx?M=M&ID=559386&GUID=2C8AA2FC-2C28-4D60-A243-05D1A8F19EB1,#
14,Rental Housing Committee,11/27/2017,,7:00 PM,Plaza Conference Room,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=577670&GUID=D97A2616-403F-4F2A-9620-A41A748561D1,,,,,,
15,Environmental Planning Commission,11/15/2017,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=573557&GUID=7AF27173-FF99-488A-8B2E-6EC6B40AC71F,,,MeetingDetail.aspx?ID=573557&GUID=7AF27173-FF99-488A-8B2E-6EC6B40AC71F&Options=info&Search=,View.ashx?M=A&ID=573557&GUID=7AF27173-FF99-488A-8B2E-6EC6B40AC71F,,#
16,Performing Arts Committee,11/15/2017,,6:15 PM,Atrium Conference Room,Meeting details,Agenda,Minutes,Not available,,,View.ashx?M=IC&ID=570892&GUID=4B859AA7-4641-4E6F-85D4-913AB2ADBF6C,,,MeetingDetail.aspx?ID=570892&GUID=4B859AA7-4641-4E6F-85D4-913AB2ADBF6C&Options=info&Search=,View.ashx?M=A&ID=570892&GUID=4B859AA7-4641-4E6F-85D4-913AB2ADBF6C,View.ashx?M=M&ID=570892&GUID=4B859AA7-4641-4E6F-85D4-913AB2ADBF6C,
17,Library Board,11/13/2017,,7:30 PM,Gossamer Conference Room,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=573914&GUID=575E3BA8-1B90-4FBA-971E-28D3168E0F61,,,MeetingDetail.aspx?ID=573914&GUID=575E3BA8-1B90-4FBA-971E-28D3168E0F61&Options=info&Search=,,View.ashx?M=M&ID=573914&GUID=575E3BA8-1B90-4FBA-971E-28D3168E0F61,
18,Parks and Recreation Commission and Urban Forestry Board,11/8/2017,,7:00 PM,Senior Center - 266 Escuela Avenue,Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=572585&GUID=5F80AAD6-8130-4163-B402-2ED82926EEF1,,,MeetingDetail.aspx?ID=572585&GUID=5F80AAD6-8130-4163-B402-2ED82926EEF1&Options=info&Search=,View.ashx?M=A&ID=572585&GUID=5F80AAD6-8130-4163-B402-2ED82926EEF1,,
19,City Council,11/7/2017,,6:30 PM,Council Chambers - 500 Castro St.SPECIAL MEETING OF THE SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=576445&GUID=ED2E87EE-18DB-4538-9EAF-8A9DA53F3E40,,,,,View.ashx?M=M&ID=576445&GUID=ED2E87EE-18DB-4538-9EAF-8A9DA53F3E40,
20,City Council,11/7/2017,,5:30 PM,Plaza & Council Chambers - 500 Castro St.JOINT SPECIAL MEETING OF THE CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=559114&GUID=7BAC4C30-F569-4E83-940C-168A25520996,,,MeetingDetail.aspx?ID=559114&GUID=7BAC4C30-F569-4E83-940C-168A25520996&Options=info&Search=,View.ashx?M=A&ID=559114&GUID=7BAC4C30-F569-4E83-940C-168A25520996,View.ashx?M=M&ID=559114&GUID=7BAC4C30-F569-4E83-940C-168A25520996,#
21,Rental Housing Committee,11/6/2017,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=572222&GUID=442FA580-9505-42BB-8656-23DA504F616A,,,MeetingDetail.aspx?ID=572222&GUID=442FA580-9505-42BB-8656-23DA504F616A&Options=info&Search=,View.ashx?M=A&ID=572222&GUID=442FA580-9505-42BB-8656-23DA504F616A,View.ashx?M=M&ID=572222&GUID=442FA580-9505-42BB-8656-23DA504F616A,#
22,Human Relations Commission,11/2/2017,,6:30 PM,Plaza Conference Room,Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=564844&GUID=AF2B017D-B29C-4B54-AC3A-A638A7CC7D6C,,,MeetingDetail.aspx?ID=564844&GUID=AF2B017D-B29C-4B54-AC3A-A638A7CC7D6C&Options=info&Search=,View.ashx?M=A&ID=564844&GUID=AF2B017D-B29C-4B54-AC3A-A638A7CC7D6C,,#
23,Environmental Planning Commission,11/1/2017,,7:00 PM,Council Chambers,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=571671&GUID=91A3A08F-AC90-4195-8FC6-6E852DAD341A,,,MeetingDetail.aspx?ID=571671&GUID=91A3A08F-AC90-4195-8FC6-6E852DAD341A&Options=info&Search=,View.ashx?M=A&ID=571671&GUID=91A3A08F-AC90-4195-8FC6-6E852DAD341A,View.ashx?M=M&ID=571671&GUID=91A3A08F-AC90-4195-8FC6-6E852DAD341A,#
24,City Council,10/24/2017,,6:30 PM,Council Chambers - 500 Castro St.SPECIAL MEETING OF THE SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=574773&GUID=F5AD8B0A-5809-4221-BA3C-443E51A86D67,,,,,View.ashx?M=M&ID=574773&GUID=F5AD8B0A-5809-4221-BA3C-443E51A86D67,
25,City Council,10/24/2017,,5:00 PM,Plaza & Council Chambers - 500 Castro St.JOINT SPECIAL MEETING OF THE CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=559112&GUID=6B536426-FEFE-442B-AC07-D5DD6ADACACC,,,MeetingDetail.aspx?ID=559112&GUID=6B536426-FEFE-442B-AC07-D5DD6ADACACC&Options=info&Search=,View.ashx?M=A&ID=559112&GUID=6B536426-FEFE-442B-AC07-D5DD6ADACACC,View.ashx?M=M&ID=559112&GUID=6B536426-FEFE-442B-AC07-D5DD6ADACACC,#
26,Rental Housing Committee,10/23/2017,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=570373&GUID=0DE10746-FD46-4D18-BF43-4BE39E8C46ED,,,MeetingDetail.aspx?ID=570373&GUID=0DE10746-FD46-4D18-BF43-4BE39E8C46ED&Options=info&Search=,View.ashx?M=A&ID=570373&GUID=0DE10746-FD46-4D18-BF43-4BE39E8C46ED,View.ashx?M=M&ID=570373&GUID=0DE10746-FD46-4D18-BF43-4BE39E8C46ED,#
27,Environmental Planning Commission,10/18/2017,,7:00 PM,Council Chambers,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=569980&GUID=4BBA1258-038E-46C6-B90F-D919CA402680,,,MeetingDetail.aspx?ID=569980&GUID=4BBA1258-038E-46C6-B90F-D919CA402680&Options=info&Search=,View.ashx?M=A&ID=569980&GUID=4BBA1258-038E-46C6-B90F-D919CA402680,View.ashx?M=M&ID=569980&GUID=4BBA1258-038E-46C6-B90F-D919CA402680,#
28,Performing Arts Committee,10/18/2017,,6:15 PM,Atrium Conference Room,Meeting details,Agenda,Minutes,Not available,,,View.ashx?M=IC&ID=566159&GUID=4601AA30-B4E1-4996-A2CC-3895D004F336,,,MeetingDetail.aspx?ID=566159&GUID=4601AA30-B4E1-4996-A2CC-3895D004F336&Options=info&Search=,View.ashx?M=A&ID=566159&GUID=4601AA30-B4E1-4996-A2CC-3895D004F336,View.ashx?M=M&ID=566159&GUID=4601AA30-B4E1-4996-A2CC-3895D004F336,
29,City Council,10/17/2017,,5:30 PM,Plaza & Council Chambers - 500 Castro St.JOINT SPECIAL MEETING OF THE CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=559109&GUID=A889815E-0AD8-4064-AAE2-2DFEA95A57C4,,,MeetingDetail.aspx?ID=559109&GUID=A889815E-0AD8-4064-AAE2-2DFEA95A57C4&Options=info&Search=,View.ashx?M=A&ID=559109&GUID=A889815E-0AD8-4064-AAE2-2DFEA95A57C4,View.ashx?M=M&ID=559109&GUID=A889815E-0AD8-4064-AAE2-2DFEA95A57C4,#
30,City Council,10/17/2017,,5:30 PM,Plaza & Council ChambersSPECIAL MEETING OF THE SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=572886&GUID=F50D1BAA-C7F7-4848-8689-6A64A0A34F62,,,,,View.ashx?M=M&ID=572886&GUID=F50D1BAA-C7F7-4848-8689-6A64A0A34F62,
31,Library Board,10/16/2017,,7:30 PM,Gossamer Conference Room,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=568321&GUID=7595F40C-2E0D-463B-AA75-DEE30D274C4E,,,MeetingDetail.aspx?ID=568321&GUID=7595F40C-2E0D-463B-AA75-DEE30D274C4E&Options=info&Search=,,View.ashx?M=M&ID=568321&GUID=7595F40C-2E0D-463B-AA75-DEE30D274C4E,
32,Parks and Recreation Commission and Urban Forestry Board,10/11/2017,,7:00 PM,Senior Center - 266 Escuela Avenue,Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=569182&GUID=F8130691-119B-4982-8903-4B6EAB92003B,,,MeetingDetail.aspx?ID=569182&GUID=F8130691-119B-4982-8903-4B6EAB92003B&Options=info&Search=,View.ashx?M=A&ID=569182&GUID=F8130691-119B-4982-8903-4B6EAB92003B,,
33,Rental Housing Committee,10/9/2017,,7:00 PM,Council Chambers - 500 castro,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=568520&GUID=02DD9FCC-2891-47BD-BD64-C90CB9650BA2,,,MeetingDetail.aspx?ID=568520&GUID=02DD9FCC-2891-47BD-BD64-C90CB9650BA2&Options=info&Search=,View.ashx?M=A&ID=568520&GUID=02DD9FCC-2891-47BD-BD64-C90CB9650BA2,View.ashx?M=M&ID=568520&GUID=02DD9FCC-2891-47BD-BD64-C90CB9650BA2,#
34,Human Relations Commission,10/5/2017,,6:30 PM,Plaza Conference Room,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=564843&GUID=8972FBF9-A443-46CD-8AAF-A95DA44BB6DF,,,MeetingDetail.aspx?ID=564843&GUID=8972FBF9-A443-46CD-8AAF-A95DA44BB6DF&Options=info&Search=,View.ashx?M=A&ID=564843&GUID=8972FBF9-A443-46CD-8AAF-A95DA44BB6DF,View.ashx?M=M&ID=564843&GUID=8972FBF9-A443-46CD-8AAF-A95DA44BB6DF,#
35,City Council,10/3/2017,,5:00 PM,Plaza & Council Chambers - 500 Castro St.,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=559105&GUID=B24D040B-B5B8-4ADA-AD91-453E361A71B6,,,MeetingDetail.aspx?ID=559105&GUID=B24D040B-B5B8-4ADA-AD91-453E361A71B6&Options=info&Search=,View.ashx?M=A&ID=559105&GUID=B24D040B-B5B8-4ADA-AD91-453E361A71B6,View.ashx?M=M&ID=559105&GUID=B24D040B-B5B8-4ADA-AD91-453E361A71B6,#
36,Library Board,9/29/2017,,7:30 PM,Gossamer Conference Room,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=568322&GUID=31B74AE1-9310-4DA1-B071-61BBBA634944,,,,,View.ashx?M=M&ID=568322&GUID=31B74AE1-9310-4DA1-B071-61BBBA634944,
37,City Council,9/26/2017,,6:30 PM,Council Chambers - 500 Castro St.SPECIAL MEETING OF THE SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=570203&GUID=2A4934C0-81CF-4430-8A22-3FC83B0CA126,,,,,,
38,City Council,9/26/2017,,5:00 PM,Council Chambers - 500 Castro St.JOINT MEETING OF THE CITY COUNCIL (REGULAR) AND THE SHORELINE REGIONAL PARK COMMUNITY (SPECIAL),Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=559102&GUID=F239ED63-297B-4C48-B3DD-DC707D5BC1E9,,,MeetingDetail.aspx?ID=559102&GUID=F239ED63-297B-4C48-B3DD-DC707D5BC1E9&Options=info&Search=,View.ashx?M=A&ID=559102&GUID=F239ED63-297B-4C48-B3DD-DC707D5BC1E9,View.ashx?M=M&ID=559102&GUID=F239ED63-297B-4C48-B3DD-DC707D5BC1E9,#
39,City Council,9/19/2017,,6:30 PM,Council Chambers - 500 Castro St.SPECIAL MEETING OF THE SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=570190&GUID=8289C6ED-4D5C-4212-9D35-52EF14208976,,,,,View.ashx?M=M&ID=570190&GUID=8289C6ED-4D5C-4212-9D35-52EF14208976,
40,City Council,9/19/2017,,5:15 PM,Plaza & Council Chambers - 500 Castro St.JOINT SPECIAL MEETING OF THE CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=559096&GUID=96756765-59D9-4BC8-9506-222B29942BE8,,,MeetingDetail.aspx?ID=559096&GUID=96756765-59D9-4BC8-9506-222B29942BE8&Options=info&Search=,View.ashx?M=A&ID=559096&GUID=96756765-59D9-4BC8-9506-222B29942BE8,,#
41,Library Board,9/18/2017,,7:30 PM,Community Room,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=564032&GUID=059BF0F9-A9C0-4930-9344-A62A32196988,,,MeetingDetail.aspx?ID=564032&GUID=059BF0F9-A9C0-4930-9344-A62A32196988&Options=info&Search=,,,
42,Parks and Recreation Commission and Urban Forestry Board,9/13/2017,,7:00 PM,Senior Center - 266 Escuela Avenue,Meeting details,Agenda,Minutes,Not available,,,View.ashx?M=IC&ID=562155&GUID=E0DF2E11-15B7-4213-9E99-65F2F0D5A306,,,MeetingDetail.aspx?ID=562155&GUID=E0DF2E11-15B7-4213-9E99-65F2F0D5A306&Options=info&Search=,View.ashx?M=A&ID=562155&GUID=E0DF2E11-15B7-4213-9E99-65F2F0D5A306,View.ashx?M=M&ID=562155&GUID=E0DF2E11-15B7-4213-9E99-65F2F0D5A306,
43,City Council,9/12/2017,,6:30 PM,Council Chambers - 500 Castro St.SPECIAL MEETING OF THE SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=570015&GUID=E66E6DF4-8FF6-4122-84E8-A3CE374B77A0,,,,,View.ashx?M=M&ID=570015&GUID=E66E6DF4-8FF6-4122-84E8-A3CE374B77A0,
44,City Council,9/12/2017,,5:00 PM,Plaza & Council Chambers - 500 Castro St.JOINT MEETING OF THE CITY COUNCIL (REGULAR) AND THE SHORELINE REGIONAL PARK COMMUNITY (SPECIAL),Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=558992&GUID=37D02C00-55A3-43C7-A1DC-E63F93CA9FA0,,,MeetingDetail.aspx?ID=558992&GUID=37D02C00-55A3-43C7-A1DC-E63F93CA9FA0&Options=info&Search=,View.ashx?M=A&ID=558992&GUID=37D02C00-55A3-43C7-A1DC-E63F93CA9FA0,,#
45,Rental Housing Committee,9/11/2017,,6:00 PM,Committee Room and Council Chambers - 500 Castro,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=563309&GUID=D3073B22-621F-4CD7-8EEC-8790EA249D1B,,,MeetingDetail.aspx?ID=563309&GUID=D3073B22-621F-4CD7-8EEC-8790EA249D1B&Options=info&Search=,View.ashx?M=A&ID=563309&GUID=D3073B22-621F-4CD7-8EEC-8790EA249D1B,View.ashx?M=M&ID=563309&GUID=D3073B22-621F-4CD7-8EEC-8790EA249D1B,#
46,Human Relations Commission,9/7/2017,,6:30 PM,Plaza Conference Room,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=550095&GUID=C8F3C94B-DF8A-430C-82A9-808FFA13778B,,,MeetingDetail.aspx?ID=550095&GUID=C8F3C94B-DF8A-430C-82A9-808FFA13778B&Options=info&Search=,View.ashx?M=A&ID=550095&GUID=C8F3C94B-DF8A-430C-82A9-808FFA13778B,View.ashx?M=M&ID=550095&GUID=C8F3C94B-DF8A-430C-82A9-808FFA13778B,#
47,Environmental Planning Commission,9/6/2017,,7:00 PM,Plaza Conference Room,Meeting details,Agenda,Minutes,Not available,,,View.ashx?M=IC&ID=561846&GUID=A5EEBEFE-F6E3-4523-B752-E6D390317776,,,MeetingDetail.aspx?ID=561846&GUID=A5EEBEFE-F6E3-4523-B752-E6D390317776&Options=info&Search=,View.ashx?M=A&ID=561846&GUID=A5EEBEFE-F6E3-4523-B752-E6D390317776,View.ashx?M=M&ID=561846&GUID=A5EEBEFE-F6E3-4523-B752-E6D390317776,
48,City Council,9/5/2017,,5:00 PM,Plaza & Council Chambers - 500 Castro St.JOINT SPECIAL MEETING OF THE CITY COUNCIL AND SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=558965&GUID=69746A58-060B-4974-B1CD-1B7C41BE19C3,,,MeetingDetail.aspx?ID=558965&GUID=69746A58-060B-4974-B1CD-1B7C41BE19C3&Options=info&Search=,View.ashx?M=A&ID=558965&GUID=69746A58-060B-4974-B1CD-1B7C41BE19C3,View.ashx?M=M&ID=558965&GUID=69746A58-060B-4974-B1CD-1B7C41BE19C3,#
49,City Council,9/5/2017,,5:00 PM,Plaza & Council Chambers - 500 Castro St.SPECIAL MEETING OF THE SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=569986&GUID=02583D9B-CFAB-4BE3-BCB7-85F562EAAC17,,,,,View.ashx?M=M&ID=569986&GUID=02583D9B-CFAB-4BE3-BCB7-85F562EAAC17,
50,Rental Housing Committee,8/28/2017,,7:00 PM,Council Chambers - 500 Castro St.,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=559816&GUID=83F24A6C-6F19-4150-8C9B-E44139940A7D,,,MeetingDetail.aspx?ID=559816&GUID=83F24A6C-6F19-4150-8C9B-E44139940A7D&Options=info&Search=,View.ashx?M=A&ID=559816&GUID=83F24A6C-6F19-4150-8C9B-E44139940A7D,View.ashx?M=M&ID=559816&GUID=83F24A6C-6F19-4150-8C9B-E44139940A7D,#
51,Library Board,8/21/2017,,7:30 PM,Gossamer Conference Room,Meeting details,Agenda,Minutes,Not available,,,View.ashx?M=IC&ID=559268&GUID=07D7C9F7-315B-4872-A2A0-EE36B7567DEC,,,MeetingDetail.aspx?ID=559268&GUID=07D7C9F7-315B-4872-A2A0-EE36B7567DEC&Options=info&Search=,View.ashx?M=A&ID=559268&GUID=07D7C9F7-315B-4872-A2A0-EE36B7567DEC,View.ashx?M=M&ID=559268&GUID=07D7C9F7-315B-4872-A2A0-EE36B7567DEC,
52,Rental Housing Committee,7/24/2017,,7:00 PM,Council Chambers - 500 Castro st.,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=557262&GUID=5DD9804A-1115-4A5C-A3D2-EC82C972FC18,,,MeetingDetail.aspx?ID=557262&GUID=5DD9804A-1115-4A5C-A3D2-EC82C972FC18&Options=info&Search=,View.ashx?M=A&ID=557262&GUID=5DD9804A-1115-4A5C-A3D2-EC82C972FC18,View.ashx?M=M&ID=557262&GUID=5DD9804A-1115-4A5C-A3D2-EC82C972FC18,#
53,Library Board,7/17/2017,,7:30 PM,Gossamer Conference Room,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=557067&GUID=04AB0D35-5B02-4207-834C-052A376031F2,,,MeetingDetail.aspx?ID=557067&GUID=04AB0D35-5B02-4207-834C-052A376031F2&Options=info&Search=,,View.ashx?M=M&ID=557067&GUID=04AB0D35-5B02-4207-834C-052A376031F2,
54,Rental Housing Committee,7/10/2017,,7:00 PM,Council Chambers - 500 Castro St.,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=555075&GUID=E92A41A0-1DDF-4683-98AC-1AAC51088F8D,,,MeetingDetail.aspx?ID=555075&GUID=E92A41A0-1DDF-4683-98AC-1AAC51088F8D&Options=info&Search=,View.ashx?M=A&ID=555075&GUID=E92A41A0-1DDF-4683-98AC-1AAC51088F8D,View.ashx?M=M&ID=555075&GUID=E92A41A0-1DDF-4683-98AC-1AAC51088F8D,#
55,City Council,6/27/2017,,6:30 PM,Council Chambers - 500 Castro St.JOINT MEETING OF THE CITY COUNCIL (REGULAR) AND SHORELINE REGIONAL PARK COMMUNITY (SPECIAL),Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=547486&GUID=004FBBF2-CB17-4E5B-AA0A-DB86166C0A1F,,,MeetingDetail.aspx?ID=547486&GUID=004FBBF2-CB17-4E5B-AA0A-DB86166C0A1F&Options=info&Search=,View.ashx?M=A&ID=547486&GUID=004FBBF2-CB17-4E5B-AA0A-DB86166C0A1F,View.ashx?M=M&ID=547486&GUID=004FBBF2-CB17-4E5B-AA0A-DB86166C0A1F,#
56,City Council,6/27/2017,,6:30 PM,Council Chambers - 500 Castro St.SPECIAL MEETING OF THE SHORELINE REGIONAL PARK COMMUNITY,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=557457&GUID=B804E62E-980B-4083-A84A-5E536D48432A,,,,,View.ashx?M=M&ID=557457&GUID=B804E62E-980B-4083-A84A-5E536D48432A,
57,Environmental Planning Commission,6/21/2017,,7:00 PM,Plaza Conference Room,Meeting details,Agenda,Not available,Media,,,View.ashx?M=IC&ID=553315&GUID=7BFB2A48-80FA-4C3F-9FD2-2BE56482E4C7,,,MeetingDetail.aspx?ID=553315&GUID=7BFB2A48-80FA-4C3F-9FD2-2BE56482E4C7&Options=info&Search=,View.ashx?M=A&ID=553315&GUID=7BFB2A48-80FA-4C3F-9FD2-2BE56482E4C7,,#
