,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Media Column Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Media Column URL
44,Environmental Planning Commission,2/20/2019,,7:00 PM,Council Chambers,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=679936&GUID=02CCA30B-9298-4E38-98AA-1A330C2172E1,,,MeetingDetail.aspx?ID=679936&GUID=02CCA30B-9298-4E38-98AA-1A330C2172E1&Options=info&Search=,View.ashx?M=A&ID=679936&GUID=02CCA30B-9298-4E38-98AA-1A330C2172E1,View.ashx?M=M&ID=679936&GUID=02CCA30B-9298-4E38-98AA-1A330C2172E1,#
45,Performing Arts Committee,2/20/2019,,6:15 PM,Atrium Conference Room,Meeting details,Agenda,Minutes,Not available,,,View.ashx?M=IC&ID=604018&GUID=37A171B7-2B49-4C1E-AA71-CE424C628CDE,,,MeetingDetail.aspx?ID=604018&GUID=37A171B7-2B49-4C1E-AA71-CE424C628CDE&Options=info&Search=,View.ashx?M=A&ID=604018&GUID=37A171B7-2B49-4C1E-AA71-CE424C628CDE,View.ashx?M=M&ID=604018&GUID=37A171B7-2B49-4C1E-AA71-CE424C628CDE,
46,Parks and Recreation Commission and Urban Forestry Board,2/13/2019,,7:00 PM,Senior Center - 266 Escuela Avenue,Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=678730&GUID=5591B592-E9F0-4FAE-AFA2-EA42ADF67BAC,,,MeetingDetail.aspx?ID=678730&GUID=5591B592-E9F0-4FAE-AFA2-EA42ADF67BAC&Options=info&Search=,View.ashx?M=A&ID=678730&GUID=5591B592-E9F0-4FAE-AFA2-EA42ADF67BAC,,
47,City Council,2/12/2019,,6:30 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041SPECIAL MEETING OF SHORELINE REGIONAL PARK COMMUNITY",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=680742&GUID=5BA017EE-8CF8-4B16-BCFB-1F447B576194,,,,,,
48,City Council,2/12/2019,,5:00 PM,"Council Chambers and Plaza Conference Room, 500 Castro St., Mountain View, CA 94041JOINT MEETING OF THE CITY COUNCIL (REGULAR) AND SHORELINE REGIONAL PARK COMMUNITY (SPECIAL)",Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=655800&GUID=7F7402D7-9D05-41CE-9A8E-7E443225E2C5,,,MeetingDetail.aspx?ID=655800&GUID=7F7402D7-9D05-41CE-9A8E-7E443225E2C5&Options=info&Search=,View.ashx?M=A&ID=655800&GUID=7F7402D7-9D05-41CE-9A8E-7E443225E2C5,View.ashx?M=M&ID=655800&GUID=7F7402D7-9D05-41CE-9A8E-7E443225E2C5,#
49,Library Board,2/11/2019,,7:00 PM,Program Room - 2nd Floor,Meeting details,Not available,Minutes,Not available,,,View.ashx?M=IC&ID=677217&GUID=6F7783BD-D947-4353-9C00-C52D87A79075,,,MeetingDetail.aspx?ID=677217&GUID=6F7783BD-D947-4353-9C00-C52D87A79075&Options=info&Search=,,View.ashx?M=M&ID=677217&GUID=6F7783BD-D947-4353-9C00-C52D87A79075,
50,Rental Housing Committee,2/11/2019,,7:00 PM,Council Chambers 500 Castro St,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=678585&GUID=18A05B7C-057A-4A9B-9DF6-7BBC4B1894AE,,,MeetingDetail.aspx?ID=678585&GUID=18A05B7C-057A-4A9B-9DF6-7BBC4B1894AE&Options=info&Search=,View.ashx?M=A&ID=678585&GUID=18A05B7C-057A-4A9B-9DF6-7BBC4B1894AE,View.ashx?M=M&ID=678585&GUID=18A05B7C-057A-4A9B-9DF6-7BBC4B1894AE,#
51,Human Relations Commission,2/7/2019,,6:30 PM,Council Chambers,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=651850&GUID=06E91FCB-DA0C-47FB-9AC9-779DCC9C7D52,,,MeetingDetail.aspx?ID=651850&GUID=06E91FCB-DA0C-47FB-9AC9-779DCC9C7D52&Options=info&Search=,View.ashx?M=A&ID=651850&GUID=06E91FCB-DA0C-47FB-9AC9-779DCC9C7D52,View.ashx?M=M&ID=651850&GUID=06E91FCB-DA0C-47FB-9AC9-779DCC9C7D52,#
52,Environmental Planning Commission,2/6/2019,,7:00 PM,"Rengstorff House, 3070 North Shoreline Boulevard, Mountain View, CA",Meeting details,Agenda,Not available,Not available,,,View.ashx?M=IC&ID=676095&GUID=85170F4B-E154-44E3-8002-52EB553BBFBE,,,MeetingDetail.aspx?ID=676095&GUID=85170F4B-E154-44E3-8002-52EB553BBFBE&Options=info&Search=,View.ashx?M=A&ID=676095&GUID=85170F4B-E154-44E3-8002-52EB553BBFBE,,
53,Bicycle/Pedestrian Advisory Committee,1/30/2019,,6:30 PM,Plaza Conference Room,Meeting details,Agenda,Minutes,Media,,,View.ashx?M=IC&ID=672767&GUID=E3670E9E-6C7A-4F1C-B522-CEB442762B63,,,MeetingDetail.aspx?ID=672767&GUID=E3670E9E-6C7A-4F1C-B522-CEB442762B63&Options=info&Search=,View.ashx?M=A&ID=672767&GUID=E3670E9E-6C7A-4F1C-B522-CEB442762B63,View.ashx?M=M&ID=672767&GUID=E3670E9E-6C7A-4F1C-B522-CEB442762B63,#
