,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Audio/Video Text,Audio Text,Caption Notes Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Audio/Video URL,Audio URL,Caption Notes URL
15,Sustainability Commission,7/16/2018,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=575584&GUID=2A35605F-00D0-4DB0-B50B-43483DB2A172,,,MeetingDetail.aspx?ID=575584&GUID=2A35605F-00D0-4DB0-B50B-43483DB2A172&Options=info&Search=,View.ashx?M=A&ID=575584&GUID=2A35605F-00D0-4DB0-B50B-43483DB2A172,View.ashx?M=M&ID=575584&GUID=2A35605F-00D0-4DB0-B50B-43483DB2A172,#,#,#
16,Heritage Preservation Commission,7/11/2018,,7:00 PM,MEETING CANCELED,Meeting details,Agenda,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=582144&GUID=BC0582B8-D937-46E9-A8A1-81C2EF7C7556,,,MeetingDetail.aspx?ID=582144&GUID=BC0582B8-D937-46E9-A8A1-81C2EF7C7556&Options=info&Search=,View.ashx?M=A&ID=582144&GUID=BC0582B8-D937-46E9-A8A1-81C2EF7C7556,,,,
17,Parks and Recreation Commission,7/11/2018,,7:00 PM,"Council Chambers, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=586033&GUID=ABF34FA6-CF03-4D3A-9DF0-FF9CECC358D3,,,MeetingDetail.aspx?ID=586033&GUID=ABF34FA6-CF03-4D3A-9DF0-FF9CECC358D3&Options=info&Search=,View.ashx?M=A&ID=586033&GUID=ABF34FA6-CF03-4D3A-9DF0-FF9CECC358D3,View.ashx?M=M&ID=586033&GUID=ABF34FA6-CF03-4D3A-9DF0-FF9CECC358D3,#,#,#
18,Zoning Administrator Hearing,7/11/2018,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,View.ashx?M=IC&ID=611220&GUID=0B43EABD-7D80-415B-B7E1-D81BE42E7F8E,,,MeetingDetail.aspx?ID=611220&GUID=0B43EABD-7D80-415B-B7E1-D81BE42E7F8E&Options=info&Search=,View.ashx?M=A&ID=611220&GUID=0B43EABD-7D80-415B-B7E1-D81BE42E7F8E,View.ashx?M=M&ID=611220&GUID=0B43EABD-7D80-415B-B7E1-D81BE42E7F8E,,,
19,Planning Commission,7/9/2018,,6:30 PM,Special Meeting - Study Session (Audio Only)Study Session - 6:30 PM,Meeting details,Agenda,Not available,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=614189&GUID=36C2D8C5-68FD-4603-96C2-B0401194CAAB,,,MeetingDetail.aspx?ID=614189&GUID=36C2D8C5-68FD-4603-96C2-B0401194CAAB&Options=info&Search=,View.ashx?M=A&ID=614189&GUID=36C2D8C5-68FD-4603-96C2-B0401194CAAB,,#,#,#
20,Planning Commission,7/9/2018,,6:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting: Closed Session - 6 PM | Study Session - 6:30 PM | Special Meeting - Public Hearing 7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=575383&GUID=6713B19D-AAF8-4395-B21F-62B6C9E0B744,,,MeetingDetail.aspx?ID=575383&GUID=6713B19D-AAF8-4395-B21F-62B6C9E0B744&Options=info&Search=,View.ashx?M=A&ID=575383&GUID=6713B19D-AAF8-4395-B21F-62B6C9E0B744,View.ashx?M=M&ID=575383&GUID=6713B19D-AAF8-4395-B21F-62B6C9E0B744,#,#,#
21,Board of Library Trustees,7/2/2018,,7:00 PM,MEETING CANCELLED,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=587264&GUID=FB83D333-1A8D-4AE3-8CA0-57804D1EC200,,,,,,,,
22,Climate Action Plan 2.0 Advisory Committee,6/28/2018,,6:30 PM,"Senior Center - Cypress Room, Community Center, 550 E. Remington Dr., Sunnyvale, CA 94087",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=601336&GUID=1EF96683-D5F9-4FFD-AD0C-BA2095A2E931,,,MeetingDetail.aspx?ID=601336&GUID=1EF96683-D5F9-4FFD-AD0C-BA2095A2E931&Options=info&Search=,View.ashx?M=A&ID=601336&GUID=1EF96683-D5F9-4FFD-AD0C-BA2095A2E931,,,,
23,Housing and Human Services Commission,6/27/2018,,7:00 PM,Meeting Canceled,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=575492&GUID=0C3D02FB-F083-417C-922F-295A8D5EF3E2,,,,,,,,
24,Zoning Administrator Hearing,6/27/2018,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,View.ashx?M=IC&ID=611219&GUID=465E892A-8A6F-4CB9-AFC0-AB1C247D9D75,,,MeetingDetail.aspx?ID=611219&GUID=465E892A-8A6F-4CB9-AFC0-AB1C247D9D75&Options=info&Search=,View.ashx?M=A&ID=611219&GUID=465E892A-8A6F-4CB9-AFC0-AB1C247D9D75,View.ashx?M=M&ID=611219&GUID=465E892A-8A6F-4CB9-AFC0-AB1C247D9D75,,,
