,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Audio/Video Text,Audio Text,Caption Notes Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Audio/Video URL,Audio URL,Caption Notes URL
95,City Council,1/24/2017,,5:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting: Closed Session-5 PM | Regular Meeting-7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=455213&GUID=DB5C0FEE-ACB8-47DA-A447-43DF70FB3B2E,,,MeetingDetail.aspx?ID=455213&GUID=DB5C0FEE-ACB8-47DA-A447-43DF70FB3B2E&Options=info&Search=,View.ashx?M=A&ID=455213&GUID=DB5C0FEE-ACB8-47DA-A447-43DF70FB3B2E,View.ashx?M=M&ID=455213&GUID=DB5C0FEE-ACB8-47DA-A447-43DF70FB3B2E,#,#,#
96,Planning Commission,1/23/2017,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Study Session Cancelled | Special Meeting - Public Hearing 7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=516566&GUID=E5FCF683-E91A-4CF6-B1B8-0F17952BAAFD,,,MeetingDetail.aspx?ID=516566&GUID=E5FCF683-E91A-4CF6-B1B8-0F17952BAAFD&Options=info&Search=,View.ashx?M=A&ID=516566&GUID=E5FCF683-E91A-4CF6-B1B8-0F17952BAAFD,View.ashx?M=M&ID=516566&GUID=E5FCF683-E91A-4CF6-B1B8-0F17952BAAFD,#,#,#
97,Heritage Preservation Commission,1/19/2017,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=529464&GUID=4BF59673-31B0-448A-B10D-4D50CA1F2CBF,,,,,,,,
98,Bicycle and Pedestrian Advisory Commission,1/19/2017,,6:30 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=526997&GUID=D173DE0C-30AD-4F24-8C8C-60B0065C50B4,,,MeetingDetail.aspx?ID=526997&GUID=D173DE0C-30AD-4F24-8C8C-60B0065C50B4&Options=info&Search=,View.ashx?M=A&ID=526997&GUID=D173DE0C-30AD-4F24-8C8C-60B0065C50B4,View.ashx?M=M&ID=526997&GUID=D173DE0C-30AD-4F24-8C8C-60B0065C50B4,#,#,#
99,Arts Commission,1/18/2017,,7:00 PM,MEETING CANCELED,Meeting details,Agenda,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=524040&GUID=645AB57D-7442-4669-BAC9-B783160B4F9A,,,MeetingDetail.aspx?ID=524040&GUID=645AB57D-7442-4669-BAC9-B783160B4F9A&Options=info&Search=,View.ashx?M=A&ID=524040&GUID=645AB57D-7442-4669-BAC9-B783160B4F9A,,,,
0,Sustainability Commission,1/17/2017,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Sustainability Commission Full Agenda Packet 20170117,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=523438&GUID=125D1F6F-730E-4E31-90FA-8DEFDB922C10,,,MeetingDetail.aspx?ID=523438&GUID=125D1F6F-730E-4E31-90FA-8DEFDB922C10&Options=info&Search=,View.ashx?M=A&ID=523438&GUID=125D1F6F-730E-4E31-90FA-8DEFDB922C10,View.ashx?M=M&ID=523438&GUID=125D1F6F-730E-4E31-90FA-8DEFDB922C10,#,#,#
1,Heritage Preservation Commission,1/11/2017,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=456362&GUID=E9C64DC5-AF2E-479A-A7C0-F5CAB04F71F1,,,MeetingDetail.aspx?ID=456362&GUID=E9C64DC5-AF2E-479A-A7C0-F5CAB04F71F1&Options=info&Search=,View.ashx?M=A&ID=456362&GUID=E9C64DC5-AF2E-479A-A7C0-F5CAB04F71F1,View.ashx?M=M&ID=456362&GUID=E9C64DC5-AF2E-479A-A7C0-F5CAB04F71F1,#,#,#
2,Parks and Recreation Commission,1/11/2017,,7:00 PM,"Council Chambers, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=491149&GUID=E22DFCF3-41AD-4EF6-96D3-E1423DF6C42F,,,MeetingDetail.aspx?ID=491149&GUID=E22DFCF3-41AD-4EF6-96D3-E1423DF6C42F&Options=info&Search=,View.ashx?M=A&ID=491149&GUID=E22DFCF3-41AD-4EF6-96D3-E1423DF6C42F,View.ashx?M=M&ID=491149&GUID=E22DFCF3-41AD-4EF6-96D3-E1423DF6C42F,#,#,#
3,Zoning Administrator Hearing,1/11/2017,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086MEETING CANCELED",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=520675&GUID=1763DB3E-3341-4122-87B3-AD7CBABC8271,,,MeetingDetail.aspx?ID=520675&GUID=1763DB3E-3341-4122-87B3-AD7CBABC8271&Options=info&Search=,,,,,
4,City Council,1/10/2017,,7:00 PM,"Council Chambers, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=455212&GUID=87A0E84E-988C-4BD4-B00E-D7BE6CC368AA,,,MeetingDetail.aspx?ID=455212&GUID=87A0E84E-988C-4BD4-B00E-D7BE6CC368AA&Options=info&Search=,View.ashx?M=A&ID=455212&GUID=87A0E84E-988C-4BD4-B00E-D7BE6CC368AA,View.ashx?M=M&ID=455212&GUID=87A0E84E-988C-4BD4-B00E-D7BE6CC368AA,#,#,#
5,Planning Commission,1/9/2017,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Study Session Cancelled| Special Meeting - Public Hearing 7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=516567&GUID=62438F76-FF84-47A0-A251-045A015934FF,,,MeetingDetail.aspx?ID=516567&GUID=62438F76-FF84-47A0-A251-045A015934FF&Options=info&Search=,View.ashx?M=A&ID=516567&GUID=62438F76-FF84-47A0-A251-045A015934FF,View.ashx?M=M&ID=516567&GUID=62438F76-FF84-47A0-A251-045A015934FF,#,#,#
6,Board of Library Trustees,1/9/2017,,7:00 PM,MEETING CANCELED,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=520741&GUID=72A4AE6A-7C92-4E21-AA22-F2B952A243B2,,,MeetingDetail.aspx?ID=520741&GUID=72A4AE6A-7C92-4E21-AA22-F2B952A243B2&Options=info&Search=,,,,,
7,Housing and Human Services Commission,12/28/2016,,7:00 PM,Meeting Canceled,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=447569&GUID=FE2C300C-119E-495A-B14B-54BC81F4014D,,,,,,,,
8,Zoning Administrator Hearing,12/28/2016,,3:00 PM,MEETING CANCELED,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=502407&GUID=39243910-11B0-4DE0-9FAB-29036C8CEA67,,,,,,,,
9,Arts Commission,12/21/2016,,7:00 PM,MEETING CANCELLED,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=448421&GUID=95B53887-FF3D-4843-A143-F26C5C52AFDE,,,,,,,,
10,Sustainability Commission,12/19/2016,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Not available,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=455614&GUID=2FFDBBD8-8B27-4421-ABEB-8AE651B6B611,,,MeetingDetail.aspx?ID=455614&GUID=2FFDBBD8-8B27-4421-ABEB-8AE651B6B611&Options=info&Search=,View.ashx?M=A&ID=455614&GUID=2FFDBBD8-8B27-4421-ABEB-8AE651B6B611,,#,#,#
11,Bicycle and Pedestrian Advisory Commission,12/15/2016,,6:30 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=450744&GUID=FF0CBAC5-5E32-46F5-9D65-91F8FFF717A6,,,MeetingDetail.aspx?ID=450744&GUID=FF0CBAC5-5E32-46F5-9D65-91F8FFF717A6&Options=info&Search=,View.ashx?M=A&ID=450744&GUID=FF0CBAC5-5E32-46F5-9D65-91F8FFF717A6,View.ashx?M=M&ID=450744&GUID=FF0CBAC5-5E32-46F5-9D65-91F8FFF717A6,#,#,#
12,Parks and Recreation Commission,12/14/2016,,7:00 PM,MEETING CANCELED,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=448348&GUID=0CFEB85F-2941-4F00-A8F3-21E98389A87F,,,,,,,,
13,Zoning Administrator Hearing,12/14/2016,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,View.ashx?M=IC&ID=502406&GUID=AA1545C0-299E-4107-ABF2-2F736516B83D,,,MeetingDetail.aspx?ID=502406&GUID=AA1545C0-299E-4107-ABF2-2F736516B83D&Options=info&Search=,View.ashx?M=A&ID=502406&GUID=AA1545C0-299E-4107-ABF2-2F736516B83D,View.ashx?M=M&ID=502406&GUID=AA1545C0-299E-4107-ABF2-2F736516B83D,,,
14,City Council,12/13/2016,,4:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting: Closed Session-4 PM | Regular Council Meeting-7 PM | Special Joint Meeting of the City Council and the Sunnyvale Financing Authority-7 PM (or as soon thereafter as the matter may be heard)",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=455201&GUID=41913DC0-B2FF-4CB2-8102-DA6497EEED7B,,,MeetingDetail.aspx?ID=455201&GUID=41913DC0-B2FF-4CB2-8102-DA6497EEED7B&Options=info&Search=,View.ashx?M=A&ID=455201&GUID=41913DC0-B2FF-4CB2-8102-DA6497EEED7B,View.ashx?M=M&ID=455201&GUID=41913DC0-B2FF-4CB2-8102-DA6497EEED7B,#,#,#
15,Planning Commission,12/12/2016,,6:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Study Session - 6 PM | Special Meeting - Public Hearing 7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=517486&GUID=35A5563D-6DF9-47E3-8EC9-0ABD4A6C65F2,,,MeetingDetail.aspx?ID=517486&GUID=35A5563D-6DF9-47E3-8EC9-0ABD4A6C65F2&Options=info&Search=,View.ashx?M=A&ID=517486&GUID=35A5563D-6DF9-47E3-8EC9-0ABD4A6C65F2,View.ashx?M=M&ID=517486&GUID=35A5563D-6DF9-47E3-8EC9-0ABD4A6C65F2,#,#,#
16,Heritage Preservation Commission,12/7/2016,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=456361&GUID=575912BF-DE1B-45F2-96D0-985D986B09DD,,,MeetingDetail.aspx?ID=456361&GUID=575912BF-DE1B-45F2-96D0-985D986B09DD&Options=info&Search=,View.ashx?M=A&ID=456361&GUID=575912BF-DE1B-45F2-96D0-985D986B09DD,View.ashx?M=M&ID=456361&GUID=575912BF-DE1B-45F2-96D0-985D986B09DD,#,#,#
17,Zoning Administrator Hearing,12/7/2016,,3:00 PM,"Lobby Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,View.ashx?M=IC&ID=517839&GUID=00F15242-3A4C-46D9-98BC-44946E7E77B1,,,MeetingDetail.aspx?ID=517839&GUID=00F15242-3A4C-46D9-98BC-44946E7E77B1&Options=info&Search=,View.ashx?M=A&ID=517839&GUID=00F15242-3A4C-46D9-98BC-44946E7E77B1,View.ashx?M=M&ID=517839&GUID=00F15242-3A4C-46D9-98BC-44946E7E77B1,,,
18,City Council,12/6/2016,,5:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meetings: Study Sessions-5 PM | Regular Meeting-7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=455200&GUID=DE5B1A71-13CD-4FA8-B4B0-4CDA873BF48A,,,MeetingDetail.aspx?ID=455200&GUID=DE5B1A71-13CD-4FA8-B4B0-4CDA873BF48A&Options=info&Search=,View.ashx?M=A&ID=455200&GUID=DE5B1A71-13CD-4FA8-B4B0-4CDA873BF48A,View.ashx?M=M&ID=455200&GUID=DE5B1A71-13CD-4FA8-B4B0-4CDA873BF48A,#,#,#
19,Planning Commission,12/5/2016,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Study Session Cancelled | Special Meeting - Public Hearing 7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=444557&GUID=592759AC-83CD-4B82-A5B4-F7C59A1AD388,,,MeetingDetail.aspx?ID=444557&GUID=592759AC-83CD-4B82-A5B4-F7C59A1AD388&Options=info&Search=,View.ashx?M=A&ID=444557&GUID=592759AC-83CD-4B82-A5B4-F7C59A1AD388,View.ashx?M=M&ID=444557&GUID=592759AC-83CD-4B82-A5B4-F7C59A1AD388,#,#,#
20,Board of Library Trustees,12/5/2016,,7:00 PM,MEETING CANCELED,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=450376&GUID=6640035C-141D-4269-AC7F-2F5D51166854,,,MeetingDetail.aspx?ID=450376&GUID=6640035C-141D-4269-AC7F-2F5D51166854&Options=info&Search=,,,,,
21,Zoning Administrator Hearing,11/30/2016,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086MEETING CANCELED",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=502405&GUID=E55046C6-DA86-4E39-AE51-CB153A57E603,,,MeetingDetail.aspx?ID=502405&GUID=E55046C6-DA86-4E39-AE51-CB153A57E603&Options=info&Search=,,,,,
22,City Council,11/29/2016,,5:00 PM,"West Conference Room and Council Chambers, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meetings: Closed Session-5 PM | Special Meeting-6 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=512880&GUID=8130C00C-0DA7-4072-AB9F-97A0D76129D9,,,MeetingDetail.aspx?ID=512880&GUID=8130C00C-0DA7-4072-AB9F-97A0D76129D9&Options=info&Search=,View.ashx?M=A&ID=512880&GUID=8130C00C-0DA7-4072-AB9F-97A0D76129D9,View.ashx?M=M&ID=512880&GUID=8130C00C-0DA7-4072-AB9F-97A0D76129D9,#,#,#
23,Planning Commission,11/28/2016,,6:30 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Study Session - 6:30 PM | Special Meeting - Public Hearing 7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=444556&GUID=E97A036A-56FC-4974-B26D-FC23D50EBF41,,,MeetingDetail.aspx?ID=444556&GUID=E97A036A-56FC-4974-B26D-FC23D50EBF41&Options=info&Search=,View.ashx?M=A&ID=444556&GUID=E97A036A-56FC-4974-B26D-FC23D50EBF41,View.ashx?M=M&ID=444556&GUID=E97A036A-56FC-4974-B26D-FC23D50EBF41,#,#,#
24,Housing and Human Services Commission,11/23/2016,,7:00 PM,Meeting Canceled,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=465590&GUID=695BF4DB-59EE-4381-B685-F053FE03883D,,,,,,,,
25,Sustainability Commission,11/21/2016,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=455613&GUID=BF71DDDC-7F22-45D3-A78F-42D1323A2500,,,MeetingDetail.aspx?ID=455613&GUID=BF71DDDC-7F22-45D3-A78F-42D1323A2500&Options=info&Search=,View.ashx?M=A&ID=455613&GUID=BF71DDDC-7F22-45D3-A78F-42D1323A2500,View.ashx?M=M&ID=455613&GUID=BF71DDDC-7F22-45D3-A78F-42D1323A2500,#,#,#
26,Bicycle and Pedestrian Advisory Commission,11/17/2016,,6:30 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=450743&GUID=AAC8C889-C52C-4DD0-BCC1-E64E8E2E561C,,,MeetingDetail.aspx?ID=450743&GUID=AAC8C889-C52C-4DD0-BCC1-E64E8E2E561C&Options=info&Search=,View.ashx?M=A&ID=450743&GUID=AAC8C889-C52C-4DD0-BCC1-E64E8E2E561C,View.ashx?M=M&ID=450743&GUID=AAC8C889-C52C-4DD0-BCC1-E64E8E2E561C,#,#,#
27,Housing and Human Services Commission,11/16/2016,,7:00 PM,"Council Chambers, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=447568&GUID=ECE251E4-D247-46AD-98EE-AF2546C26E71,,,MeetingDetail.aspx?ID=447568&GUID=ECE251E4-D247-46AD-98EE-AF2546C26E71&Options=info&Search=,View.ashx?M=A&ID=447568&GUID=ECE251E4-D247-46AD-98EE-AF2546C26E71,View.ashx?M=M&ID=447568&GUID=ECE251E4-D247-46AD-98EE-AF2546C26E71,#,#,#
28,Arts Commission,11/16/2016,,7:00 PM,"Neighborhood Room - Recreation Center, Sunnyvale Community Center, 550 E. Remington Drive, Sunnyvale, CA 94087",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=448420&GUID=C73870A8-A481-4543-8438-2ADBAD56EE8D,,,MeetingDetail.aspx?ID=448420&GUID=C73870A8-A481-4543-8438-2ADBAD56EE8D&Options=info&Search=,View.ashx?M=A&ID=448420&GUID=C73870A8-A481-4543-8438-2ADBAD56EE8D,View.ashx?M=M&ID=448420&GUID=C73870A8-A481-4543-8438-2ADBAD56EE8D,#,#,#
29,Zoning Administrator Hearing,11/16/2016,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,View.ashx?M=IC&ID=518177&GUID=EC98BCCA-C433-4DA5-84C5-A8FBE292B4B8,,,MeetingDetail.aspx?ID=518177&GUID=EC98BCCA-C433-4DA5-84C5-A8FBE292B4B8&Options=info&Search=,View.ashx?M=A&ID=518177&GUID=EC98BCCA-C433-4DA5-84C5-A8FBE292B4B8,View.ashx?M=M&ID=518177&GUID=EC98BCCA-C433-4DA5-84C5-A8FBE292B4B8,,,
30,City Council,11/15/2016,,5:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meetings: Study Session-5 PM | Closed Session-6:15 PM | Regular Meeting-7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=455198&GUID=BBC088D8-AE76-4C7A-BF1C-66D51788312D,,,MeetingDetail.aspx?ID=455198&GUID=BBC088D8-AE76-4C7A-BF1C-66D51788312D&Options=info&Search=,View.ashx?M=A&ID=455198&GUID=BBC088D8-AE76-4C7A-BF1C-66D51788312D,View.ashx?M=M&ID=455198&GUID=BBC088D8-AE76-4C7A-BF1C-66D51788312D,#,#,#
31,City Council,11/15/2016,,5:00 PM,Special Meeting - Study Session (Audio Only),Meeting details,Agenda,Not available,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=516857&GUID=D76FE5F6-B109-486D-BA33-3A11EB8C33BF,,,MeetingDetail.aspx?ID=516857&GUID=D76FE5F6-B109-486D-BA33-3A11EB8C33BF&Options=info&Search=,View.ashx?M=A&ID=516857&GUID=D76FE5F6-B109-486D-BA33-3A11EB8C33BF,,#,#,#
32,Board of Library Trustees,11/14/2016,,7:00 PM,"Library Program Room, Sunnyvale Public Library, 665 W. Olive Ave., Sunnyvale, CA 94086Special Meeting",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=479307&GUID=8247CB7C-0A77-446D-9B2F-CD35A0F9F6FC,,,MeetingDetail.aspx?ID=479307&GUID=8247CB7C-0A77-446D-9B2F-CD35A0F9F6FC&Options=info&Search=,View.ashx?M=A&ID=479307&GUID=8247CB7C-0A77-446D-9B2F-CD35A0F9F6FC,View.ashx?M=M&ID=479307&GUID=8247CB7C-0A77-446D-9B2F-CD35A0F9F6FC,#,#,#
33,Planning Commission,11/14/2016,,6:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Study Session - 6 PM | Special Meeting - Public Hearing 7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=444555&GUID=7330A725-7B49-4BC0-A504-7BA4C2677E30,,,MeetingDetail.aspx?ID=444555&GUID=7330A725-7B49-4BC0-A504-7BA4C2677E30&Options=info&Search=,View.ashx?M=A&ID=444555&GUID=7330A725-7B49-4BC0-A504-7BA4C2677E30,View.ashx?M=M&ID=444555&GUID=7330A725-7B49-4BC0-A504-7BA4C2677E30,#,#,#
34,Council Subcommittee on Board and Commission Bylaws Amendments,11/14/2016,,5:30 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=515392&GUID=AC49A335-CAF8-44BF-A949-6AB59CFA15AE,,,MeetingDetail.aspx?ID=515392&GUID=AC49A335-CAF8-44BF-A949-6AB59CFA15AE&Options=info&Search=,View.ashx?M=A&ID=515392&GUID=AC49A335-CAF8-44BF-A949-6AB59CFA15AE,View.ashx?M=M&ID=515392&GUID=AC49A335-CAF8-44BF-A949-6AB59CFA15AE,#,#,#
35,Parks and Recreation Commission,11/9/2016,,7:00 PM,"Council Chambers, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=448347&GUID=882103CA-D051-4ADB-B22C-ED6339460EEF,,,MeetingDetail.aspx?ID=448347&GUID=882103CA-D051-4ADB-B22C-ED6339460EEF&Options=info&Search=,View.ashx?M=A&ID=448347&GUID=882103CA-D051-4ADB-B22C-ED6339460EEF,View.ashx?M=M&ID=448347&GUID=882103CA-D051-4ADB-B22C-ED6339460EEF,#,#,#
36,Board of Library Trustees,11/7/2016,,7:00 PM,MEETING CANCELED,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=450375&GUID=6D271AE3-CE91-4545-A172-B13B6888C0A3,,,MeetingDetail.aspx?ID=450375&GUID=6D271AE3-CE91-4545-A172-B13B6888C0A3&Options=info&Search=,,,,,
37,Planning Commission,11/7/2016,,6:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting- Study Session-6 PM | Public Hearing 7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=512879&GUID=409AE1F6-29C1-4D68-A2ED-CDB7BD29F6C4,,,MeetingDetail.aspx?ID=512879&GUID=409AE1F6-29C1-4D68-A2ED-CDB7BD29F6C4&Options=info&Search=,View.ashx?M=A&ID=512879&GUID=409AE1F6-29C1-4D68-A2ED-CDB7BD29F6C4,View.ashx?M=M&ID=512879&GUID=409AE1F6-29C1-4D68-A2ED-CDB7BD29F6C4,#,#,#
38,Heritage Preservation Commission,11/2/2016,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=456360&GUID=8E3F5477-61A9-4EA0-B1BD-93340CAEA381,,,MeetingDetail.aspx?ID=456360&GUID=8E3F5477-61A9-4EA0-B1BD-93340CAEA381&Options=info&Search=,View.ashx?M=A&ID=456360&GUID=8E3F5477-61A9-4EA0-B1BD-93340CAEA381,View.ashx?M=M&ID=456360&GUID=8E3F5477-61A9-4EA0-B1BD-93340CAEA381,#,#,#
39,City Council,11/1/2016,,5:30 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting: Joint Study Session with Sustainability Commission-5:30 PM | Regular Meeting-7 PM",Meeting details,Agenda,Minutes,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=455197&GUID=DF79C82E-274E-4DE8-BD9B-0733B59C7E89,,,MeetingDetail.aspx?ID=455197&GUID=DF79C82E-274E-4DE8-BD9B-0733B59C7E89&Options=info&Search=,View.ashx?M=A&ID=455197&GUID=DF79C82E-274E-4DE8-BD9B-0733B59C7E89,View.ashx?M=M&ID=455197&GUID=DF79C82E-274E-4DE8-BD9B-0733B59C7E89,#,#,#
40,City Council,11/1/2016,,5:30 PM,Special Meeting - Study Session with Sustainability Commission (Audio Only),Meeting details,Agenda,Not available,Audio/Video,AudioDownload,Caption Notes,,,View.ashx?M=IC&ID=514123&GUID=E024B9B0-4831-4C5B-832D-C3BE3C9AB07E,,,MeetingDetail.aspx?ID=514123&GUID=E024B9B0-4831-4C5B-832D-C3BE3C9AB07E&Options=info&Search=,View.ashx?M=A&ID=514123&GUID=E024B9B0-4831-4C5B-832D-C3BE3C9AB07E,,#,#,#
41,Housing and Human Services Commission,10/26/2016,,7:00 PM,Meeting Canceled,Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=447567&GUID=14B29406-D64A-4B0C-8358-135EBE181250,,,,,,,,
42,Zoning Administrator Hearing,10/26/2016,,3:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086MEETING CANCELED",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=502403&GUID=80C66204-2C3E-407C-A73A-4D055AAE607F,,,MeetingDetail.aspx?ID=502403&GUID=80C66204-2C3E-407C-A73A-4D055AAE607F&Options=info&Search=,,,,,
