,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video/Audio Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video/Audio URL
52,Arts Commission,7/25/2018,,6:30 PM,"Civic Center, South Offices",Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=617613&GUID=137A1A38-8BBE-4AB8-906A-A8D1ADBEFBB4,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=617613&GUID=137A1A38-8BBE-4AB8-906A-A8D1ADBEFBB4&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=617613&GUID=137A1A38-8BBE-4AB8-906A-A8D1ADBEFBB4,https://sanleandro.legistar.com/View.ashx?M=M&ID=617613&GUID=137A1A38-8BBE-4AB8-906A-A8D1ADBEFBB4,https://sanleandro.legistar.com/#
53,Rent Review Board,7/24/2018,,7:00 PM,City Council ChambersMEETING CANCELLED,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=614723&GUID=1C021315-C7D4-417B-8CD1-E5056017AC63,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=614723&GUID=1C021315-C7D4-417B-8CD1-E5056017AC63&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=614723&GUID=1C021315-C7D4-417B-8CD1-E5056017AC63,,
54,City Council,7/23/2018,,7:00 PM,City Council ChambersSpecial Meeting,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=613010&GUID=D767980C-E315-4B44-A1F6-1F17C716F8AD,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=613010&GUID=D767980C-E315-4B44-A1F6-1F17C716F8AD&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=613010&GUID=D767980C-E315-4B44-A1F6-1F17C716F8AD,https://sanleandro.legistar.com/View.ashx?M=M&ID=613010&GUID=D767980C-E315-4B44-A1F6-1F17C716F8AD,https://sanleandro.legistar.com/#
55,City Council,7/23/2018,,6:00 PM,City Manager's Large Conference RoomSpecial Meeting and Closed Session,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=614872&GUID=9164686F-8288-45D6-93DD-4CC7143451A0,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=614872&GUID=9164686F-8288-45D6-93DD-4CC7143451A0&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=614872&GUID=9164686F-8288-45D6-93DD-4CC7143451A0,,
56,Rules Committee,7/23/2018,,8:30 AM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=610178&GUID=4AE10164-5A9D-498B-B38F-CC47564476D0,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=610178&GUID=4AE10164-5A9D-498B-B38F-CC47564476D0&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=610178&GUID=4AE10164-5A9D-498B-B38F-CC47564476D0,,https://sanleandro.legistar.com/#
57,Planning Commission,7/19/2018,,7:00 PM,City Council ChambersMEETING CANCELLED,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=613639&GUID=E7225D06-6958-4585-ABF2-BA014E7B28A2,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=613639&GUID=E7225D06-6958-4585-ABF2-BA014E7B28A2&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=613639&GUID=E7225D06-6958-4585-ABF2-BA014E7B28A2,,
58,Personnel Relations Board,7/19/2018,,5:30 PM,"City Hall, Human Resources Conference Room",Meeting details,Agenda,Minutes,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=613449&GUID=C45EAFC5-F743-49C3-A158-A228A163BA44,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=613449&GUID=C45EAFC5-F743-49C3-A158-A228A163BA44&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=613449&GUID=C45EAFC5-F743-49C3-A158-A228A163BA44,https://sanleandro.legistar.com/View.ashx?M=M&ID=613449&GUID=C45EAFC5-F743-49C3-A158-A228A163BA44,
59,Senior Commission,7/19/2018,,10:00 AM,Senior Community Center 13909 E. 14th St.,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=613511&GUID=924224B1-C954-401E-96F5-22F5ACDBB812,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=613511&GUID=924224B1-C954-401E-96F5-22F5ACDBB812&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=613511&GUID=924224B1-C954-401E-96F5-22F5ACDBB812,https://sanleandro.legistar.com/View.ashx?M=M&ID=613511&GUID=924224B1-C954-401E-96F5-22F5ACDBB812,https://sanleandro.legistar.com/#
60,Recreation and Parks Commission,7/18/2018,,7:00 PM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=614653&GUID=56337C23-BB21-4ED5-8F81-B3AA3FD34273,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=614653&GUID=56337C23-BB21-4ED5-8F81-B3AA3FD34273&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=614653&GUID=56337C23-BB21-4ED5-8F81-B3AA3FD34273,,
61,Library-Historical Commission,7/17/2018,,7:00 PM,"Main Library, Conference Room B",Meeting details,Agenda,Minutes,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=615953&GUID=46213CE6-A1A8-456B-AAE3-BEFDE1C7D4FF,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=615953&GUID=46213CE6-A1A8-456B-AAE3-BEFDE1C7D4FF&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=615953&GUID=46213CE6-A1A8-456B-AAE3-BEFDE1C7D4FF,https://sanleandro.legistar.com/View.ashx?M=M&ID=615953&GUID=46213CE6-A1A8-456B-AAE3-BEFDE1C7D4FF,
62,City Council,7/16/2018,,7:00 PM,City Council Chambers,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=608013&GUID=56E6A7EC-1A59-4929-9144-AEFB12762F61,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=608013&GUID=56E6A7EC-1A59-4929-9144-AEFB12762F61&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=608013&GUID=56E6A7EC-1A59-4929-9144-AEFB12762F61,https://sanleandro.legistar.com/View.ashx?M=M&ID=608013&GUID=56E6A7EC-1A59-4929-9144-AEFB12762F61,https://sanleandro.legistar.com/#
63,City Council,7/16/2018,,6:30 PM,City Manager's Large Conference RoomSpecial Meeting and Closed Session,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=614051&GUID=8B6E8B0D-CF12-4703-8C63-6A8ACFEEC42D,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=614051&GUID=8B6E8B0D-CF12-4703-8C63-6A8ACFEEC42D&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=614051&GUID=8B6E8B0D-CF12-4703-8C63-6A8ACFEEC42D,,
64,Recreation and Parks Commission,7/13/2018,,7:00 PM,"City Hall, Sister Cities Gallery",Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=614654&GUID=F868EAB5-BC67-4031-9DC5-4794903065A6,,,,,,
65,City Council,7/12/2018,,6:00 PM,City Manager's Large Conference RoomSpecial Meeting and Closed Session,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=614385&GUID=4978E2D4-709F-4C14-9BC5-3B73AC75FB7C,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=614385&GUID=4978E2D4-709F-4C14-9BC5-3B73AC75FB7C&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=614385&GUID=4978E2D4-709F-4C14-9BC5-3B73AC75FB7C,,
