,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL
80,Planning Commission,10/23/2017,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=569599&GUID=3D82BDB7-EAF7-469A-AD1D-3E3E172CCDE6,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=569599&GUID=3D82BDB7-EAF7-469A-AD1D-3E3E172CCDE6&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=569599&GUID=3D82BDB7-EAF7-469A-AD1D-3E3E172CCDE6,,
81,Finance Commission,10/23/2017,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30236&GUID=1A3FCCBF-2E26-457B-AA75-6C9C6ED96A0A,,https://hercules.legistar.com/View.ashx?M=IC&ID=569602&GUID=D06DED1A-3B92-4035-A336-F81A2847EC83,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=569602&GUID=D06DED1A-3B92-4035-A336-F81A2847EC83&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=569602&GUID=D06DED1A-3B92-4035-A336-F81A2847EC83,,
82,Finance Commission,10/23/2017,,,"THE FINANCE COMMISSION MEETING SCHEDULED FOR OCTOBER 23, 2017 HAS BEEN CANCELLED.  THE NEXT MEETING IS SCHEDULED FOR OCTOBER 19, 2017 AT 7:00 P.M.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30236&GUID=1A3FCCBF-2E26-457B-AA75-6C9C6ED96A0A,,https://hercules.legistar.com/View.ashx?M=IC&ID=563324&GUID=CB28BA75-7A0E-411C-9673-659416CD5E73,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=563324&GUID=CB28BA75-7A0E-411C-9673-659416CD5E73&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=563324&GUID=CB28BA75-7A0E-411C-9673-659416CD5E73,,
83,Finance Commission,10/19/2017,,7:00 PM,Council Chambers,Meeting details,Agenda,Minutes,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30236&GUID=1A3FCCBF-2E26-457B-AA75-6C9C6ED96A0A,,https://hercules.legistar.com/View.ashx?M=IC&ID=565025&GUID=AAAF7EBC-5620-44EF-A3E7-D8D0C7D241A8,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=565025&GUID=AAAF7EBC-5620-44EF-A3E7-D8D0C7D241A8&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=565025&GUID=AAAF7EBC-5620-44EF-A3E7-D8D0C7D241A8,https://hercules.legistar.com/View.ashx?M=M&ID=565025&GUID=AAAF7EBC-5620-44EF-A3E7-D8D0C7D241A8,
84,Planning Commission,10/16/2017,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=563295&GUID=5CDC2483-DE6D-4760-94F9-0F2DC4DCE563,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=563295&GUID=5CDC2483-DE6D-4760-94F9-0F2DC4DCE563&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=563295&GUID=5CDC2483-DE6D-4760-94F9-0F2DC4DCE563,,https://hercules.legistar.com/#
85,City Council,10/10/2017,,,"Council ChambersClosed Session - 6:00 p.m.
Regular Session - 7:00 p.m.",Meeting details,Agenda,Minutes,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=568970&GUID=1E2D48C2-F6DA-425A-8DFB-C5C860283D78,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=568970&GUID=1E2D48C2-F6DA-425A-8DFB-C5C860283D78&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=568970&GUID=1E2D48C2-F6DA-425A-8DFB-C5C860283D78,https://hercules.legistar.com/View.ashx?M=M&ID=568970&GUID=1E2D48C2-F6DA-425A-8DFB-C5C860283D78,https://hercules.legistar.com/#
86,Community and Library Services Commission,10/9/2017,,7:00 PM,Council Chambers,Meeting details,Agenda,Minutes,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30849&GUID=72E0DE9C-8A05-4081-8D54-D1B5DFF4E25D,,https://hercules.legistar.com/View.ashx?M=IC&ID=569111&GUID=B0ED1543-0640-45A6-8A07-1BD70ECFBC5D,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=569111&GUID=B0ED1543-0640-45A6-8A07-1BD70ECFBC5D&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=569111&GUID=B0ED1543-0640-45A6-8A07-1BD70ECFBC5D,https://hercules.legistar.com/View.ashx?M=M&ID=569111&GUID=B0ED1543-0640-45A6-8A07-1BD70ECFBC5D,
87,Planning Commission,10/2/2017,,7:00 PM,"THE PLANNING COMMISSION MEETING SCHEDULED FOR OCTOBER 2, 2017 HAS BEEN CANCELED.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=563294&GUID=E3D223CA-F9CA-4949-85FF-E39652D84BAE,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=563294&GUID=E3D223CA-F9CA-4949-85FF-E39652D84BAE&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=563294&GUID=E3D223CA-F9CA-4949-85FF-E39652D84BAE,,
88,City Council,9/26/2017,,,Council ChambersSpecial Meeting - 6:00 P.M.,Meeting details,Agenda,Minutes,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=558844&GUID=B2C3DE9D-BAA1-4152-AE00-7B97D8821A75,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=558844&GUID=B2C3DE9D-BAA1-4152-AE00-7B97D8821A75&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=558844&GUID=B2C3DE9D-BAA1-4152-AE00-7B97D8821A75,https://hercules.legistar.com/View.ashx?M=M&ID=558844&GUID=B2C3DE9D-BAA1-4152-AE00-7B97D8821A75,
89,City Council,9/26/2017,,,"Council ChambersClosed Session - 6:15 p.m.
Regular Session - 7:00 p.m.",Meeting details,Agenda,Minutes,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=565474&GUID=1E2F66EE-4012-4410-B457-AA5CB6C1A79B,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=565474&GUID=1E2F66EE-4012-4410-B457-AA5CB6C1A79B&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=565474&GUID=1E2F66EE-4012-4410-B457-AA5CB6C1A79B,https://hercules.legistar.com/View.ashx?M=M&ID=565474&GUID=1E2F66EE-4012-4410-B457-AA5CB6C1A79B,https://hercules.legistar.com/#
90,Finance Commission,9/25/2017,,,"THE FINANCE COMMISSION MEETING SCHEDULED FOR SEPTEMBER 25, 2017 HAS BEEN CANCELED.  THE NEXT MEETING IS SCHEDULED FOR OCTOBER 19, 2017 AT 7:00 P.M.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30236&GUID=1A3FCCBF-2E26-457B-AA75-6C9C6ED96A0A,,https://hercules.legistar.com/View.ashx?M=IC&ID=565022&GUID=81AF1288-A6C0-4D46-938D-9460FF1904F2,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=565022&GUID=81AF1288-A6C0-4D46-938D-9460FF1904F2&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=565022&GUID=81AF1288-A6C0-4D46-938D-9460FF1904F2,,
91,Planning Commission,9/18/2017,,7:00 PM,"THE PLANNING COMMISSION MEETING SCHEDULED FOR SEPTEMBER 18, 2017 HAS BEEN CANCELED.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=552147&GUID=218C3B7A-D005-4E7C-A9C0-2F28365D7799,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=552147&GUID=218C3B7A-D005-4E7C-A9C0-2F28365D7799&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=552147&GUID=218C3B7A-D005-4E7C-A9C0-2F28365D7799,,
92,Finance Commission,9/14/2017,,7:00 PM,Council ChambersSpecial Meeting,Meeting details,Agenda,Minutes,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30236&GUID=1A3FCCBF-2E26-457B-AA75-6C9C6ED96A0A,,https://hercules.legistar.com/View.ashx?M=IC&ID=559622&GUID=27766DC5-BD2C-49B4-B510-99932F47DC78,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=559622&GUID=27766DC5-BD2C-49B4-B510-99932F47DC78&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=559622&GUID=27766DC5-BD2C-49B4-B510-99932F47DC78,https://hercules.legistar.com/View.ashx?M=M&ID=559622&GUID=27766DC5-BD2C-49B4-B510-99932F47DC78,
93,City Council,9/12/2017,,,"Council ChambersClosed Session - 6:00 P.M.
Regular Meeting - 7:00 P.M.",Meeting details,Agenda,Minutes,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=563651&GUID=8CB5D1BF-1386-4CEE-9FF5-B64A04AD16DE,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=563651&GUID=8CB5D1BF-1386-4CEE-9FF5-B64A04AD16DE&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=563651&GUID=8CB5D1BF-1386-4CEE-9FF5-B64A04AD16DE,https://hercules.legistar.com/View.ashx?M=M&ID=563651&GUID=8CB5D1BF-1386-4CEE-9FF5-B64A04AD16DE,https://hercules.legistar.com/#
94,Community and Library Services Commission,9/11/2017,,,"Council ChambersWorkshop - 6:30 P.M. 
Regular Meeting - 7:00 P.M.",Meeting details,Agenda,Minutes,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30849&GUID=72E0DE9C-8A05-4081-8D54-D1B5DFF4E25D,,https://hercules.legistar.com/View.ashx?M=IC&ID=558843&GUID=C340FBE3-371E-4DF8-9477-8B39EB74B902,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=558843&GUID=C340FBE3-371E-4DF8-9477-8B39EB74B902&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=558843&GUID=C340FBE3-371E-4DF8-9477-8B39EB74B902,https://hercules.legistar.com/View.ashx?M=M&ID=558843&GUID=C340FBE3-371E-4DF8-9477-8B39EB74B902,
95,Planning Commission,9/5/2017,,7:00 PM,Council ChambersSPECIAL MEETING,Meeting details,Agenda,Not available,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=551370&GUID=FDBC37DD-9A40-4032-9245-5FCDF2C8E9AF,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=551370&GUID=FDBC37DD-9A40-4032-9245-5FCDF2C8E9AF&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=551370&GUID=FDBC37DD-9A40-4032-9245-5FCDF2C8E9AF,,https://hercules.legistar.com/#
