,city,committee,date,doc_type,url,local_path_pdf,local_path_txt,meeting_type,cancelled,month,time,doc_format,local_path_html
Biggs_2014-12-09_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2014-12-09 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/ag-12-09-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-12-09_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-12-09_Regular-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2014-12-09_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2014-12-09 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/min-12-09-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-12-09_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-12-09_Regular-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2014-11-12_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2014-11-12 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/ag-11-12-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-11-12_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-11-12_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2014-11-12_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2014-11-12 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/min-11-12-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-11-12_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-11-12_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2014-10-14_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2014-10-14 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/ag-10-14-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-10-14_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-10-14_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2014-10-14_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2014-10-14 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/min-10-14-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-10-14_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-10-14_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2014-09-09_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2014-09-09 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/ag-09-09-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-09-09_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-09-09_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2014-09-09_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2014-09-09 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/min-09-09-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-09-09_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-09-09_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2014-08-12_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2014-08-12 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/ag-08-12-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-08-12_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-08-12_Regular-City-Council-Meeting_Agendas.txt,,,,6:15 pm,,
Biggs_2014-08-12_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2014-08-12 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/min-08-12-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-08-12_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-08-12_Regular-City-Council-Meeting_Minutes.txt,,,,6:15 pm,,
Biggs_2014-07-08_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2014-07-08 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/ag-07-08-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-07-08_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-07-08_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2014-07-08_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2014-07-08 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/min-07-08-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-07-08_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-07-08_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2014-06-26_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2014-06-26 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/ag-06-26-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-06-26_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-06-26_Special-City-Council-Meeting_Agendas.txt,,,,7:00 pm,,
Biggs_2014-06-26_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2014-06-26 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/min-06-26-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-06-26_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-06-26_Special-City-Council-Meeting_Minutes.txt,,,,7:00 pm,,
Biggs_2014-06-10_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2014-06-10 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/ag-06-10-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-06-10_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-06-10_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2014-06-10_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2014-06-10 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/min-06-10-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-06-10_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-06-10_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2014-05-13_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2014-05-13 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/ag-05-13-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-05-13_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-05-13_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2014-05-13_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2014-05-13 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/min-05-13-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-05-13_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-05-13_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2014-04-08_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2014-04-08 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/ag-04-08-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-04-08_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-04-08_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2014-04-08_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2014-04-08 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/min-04-08-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-04-08_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-04-08_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2014-03-11_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2014-03-11 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/ag-03-11-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-03-11_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-03-11_Regular-City-Council-Meeting_Agendas.txt,,,,5:00 pm,,
Biggs_2014-03-11_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2014-03-11 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/min-03-11-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-03-11_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-03-11_Regular-City-Council-Meeting_Minutes.txt,,,,5:00 pm,,
Biggs_2014-02-11_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2014-02-11 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/ag-02-11-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-02-11_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-02-11_Regular-City-Council-Meeting_Agendas.txt,,,,5:00 pm,,
Biggs_2014-02-11_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2014-02-11 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/min-02-11-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-02-11_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-02-11_Regular-City-Council-Meeting_Minutes.txt,,,,5:00 pm,,
Biggs_2014-01-14_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2014-01-14 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/ag-01-14-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-01-14_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-01-14_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2014-01-14_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2014-01-14 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2014-Agendas--Minutes/min-01-14-14.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-01-14_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2014-01-14_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2013-12-10_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2013-12-10 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-12-10-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-12-10_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-12-10_Regular-City-Council-Meeting_Agendas.txt,,,,5:00 pm,,
Biggs_2013-12-10_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2013-12-10 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/min-12-10-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-12-10_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-12-10_Regular-City-Council-Meeting_Minutes.txt,,,,5:00 pm,,
Biggs_2013-11-12_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2013-11-12 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-11-12-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-11-12_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-11-12_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2013-11-12_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2013-11-12 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/min-11-12-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-11-12_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-11-12_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2013-10-08_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2013-10-08 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-10-08-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-10-08_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-10-08_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2013-10-08_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2013-10-08 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/min-10-08-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-10-08_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-10-08_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2013-09-10_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2013-09-10 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-09-10-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-09-10_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-09-10_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2013-09-10_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2013-09-10 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/min-09-10-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-09-10_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-09-10_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2013-08-29_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2013-08-29 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-08-29-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-08-29_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-08-29_Special-City-Council-Meeting_Agendas.txt,,,,6:00 pm,,
Biggs_2013-08-29_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2013-08-29 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/min-08-29-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-08-29_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-08-29_Special-City-Council-Meeting_Minutes.txt,,,,6:00 pm,,
Biggs_2013-08-13_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2013-08-13 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-08-13-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-08-13_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-08-13_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2013-08-13_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2013-08-13 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/min-08-13-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-08-13_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-08-13_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2013-07-09_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2013-07-09 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-07-09-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-07-09_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-07-09_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2013-07-09_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2013-07-09 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/min-07-09-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-07-09_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-07-09_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2013-06-17_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2013-06-17 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-06-17-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-06-17_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-06-17_Special-City-Council-Meeting_Agendas.txt,,,,11:00 am,,
Biggs_2013-06-17_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2013-06-17 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/min-06-17-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-06-17_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-06-17_Special-City-Council-Meeting_Minutes.txt,,,,11:00 am,,
Biggs_2013-06-11_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2013-06-11 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-06-11-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-06-11_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-06-11_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2013-06-11_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2013-06-11 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/min-06-11-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-06-11_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-06-11_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2013-05-14_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2013-05-14 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-5-14-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-05-14_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-05-14_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2013-05-14_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2013-05-14 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/min-05-14-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-05-14_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-05-14_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2013-04-12_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2013-04-12 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-04-12-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-04-12_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-04-12_Special-City-Council-Meeting_Agendas.txt,,,,1:30 pm,,
Biggs_2013-04-12_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2013-04-12 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/min-04-12-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-04-12_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-04-12_Special-City-Council-Meeting_Minutes.txt,,,,1:30 pm,,
Biggs_2013-04-09_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2013-04-09 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-04-09-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-04-09_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-04-09_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2013-04-09_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2013-04-09 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/min-04-09-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-04-09_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-04-09_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Biggs_2013-04-01_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2013-04-01 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-04-01-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-04-01_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-04-01_Special-City-Council-Meeting_Agendas.txt,,,,10:45 am,,
Biggs_2013-04-01_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2013-04-01 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/min-04-01-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-04-01_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-04-01_Special-City-Council-Meeting_Minutes.txt,,,,10:45 am,,
Biggs_2013-03-27_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2013-03-27 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2013-Agendas--Minutes/ag-03-27-13.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-03-27_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2013-03-27_Special-City-Council-Meeting_Agendas.txt,,,,1:00 pm,,
