,city,committee,date,doc_type,url,local_path_pdf,local_path_txt,meeting_type,cancelled,month,time,doc_format,local_path_html
Gridley_2017-11-20_City-Council_Minutes,Gridley,City Council,2017-11-20 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/11-20-17_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-11-20_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-11-20_City-Council_Minutes.txt,,,,,,
Biggs_2017-11-14_Regular-City-Council-Meeting_Agendas,Biggs,Regular City Council Meeting,2017-11-14 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/ag-11-14-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-11-14_Regular-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-11-14_Regular-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2017-11-14_Regular-City-Council-Meeting_Minutes,Biggs,Regular City Council Meeting,2017-11-14 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/min-11-14-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-11-14_Regular-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-11-14_Regular-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Gridley_2017-11-13_Planning-Commission_Agenda,Gridley,Planning Commission,2017-11-13 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/11-13-17_PC_Packet.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-11-13_Planning-Commission_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-11-13_Planning-Commission_Agenda.txt,,,,,,
Gridley_2017-11-13_Planning-Commission_Minutes,Gridley,Planning Commission,2017-11-13 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/11-13-2017_pc_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-11-13_Planning-Commission_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-11-13_Planning-Commission_Minutes.txt,,,,,,
Gridley_2017-11-06_City-Council_Agenda,Gridley,City Council,2017-11-06 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/11-6-17_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-11-06_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-11-06_City-Council_Agenda.txt,,,,,,
Gridley_2017-11-06_City-Council_Minutes,Gridley,City Council,2017-11-06 00:00:00,Minutes,http://gridley.ca.us/public/uploads/pdfs/11-6-17_minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-11-06_City-Council_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-11-06_City-Council_Minutes.txt,,,,,,
Biggs_2017-10-24_Special-City-Council-Meeting_Agendas,Biggs,Special City Council Meeting,2017-10-24 00:00:00,Agendas,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/ag-10-24-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-10-24_Special-City-Council-Meeting_Agendas.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-10-24_Special-City-Council-Meeting_Agendas.txt,,,,6:30 pm,,
Biggs_2017-10-24_Special-City-Council-Meeting_Minutes,Biggs,Special City Council Meeting,2017-10-24 00:00:00,Minutes,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2017-Agendas--Minutes/min-10-24-17.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-10-24_Special-City-Council-Meeting_Minutes.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/biggs/Biggs_2017-10-24_Special-City-Council-Meeting_Minutes.txt,,,,6:30 pm,,
Gridley_2017-10-16_City-Council_Agenda,Gridley,City Council,2017-10-16 00:00:00,Agenda,http://gridley.ca.us/public/uploads/pdfs/10-16-17_agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-10-16_City-Council_Agenda.pdf,/Users/chris/Dropbox/projects/autolocal/data/docs/gridley/Gridley_2017-10-16_City-Council_Agenda.txt,,,,,,
